termino;pilar;sectorial;colocacion;justificacion
pharmaceutical residue;E;1;1;Sanofi plans to manage residues in the environment
climate-related health impact;E;1;1;Sanofi allergies and vector-borne disease from warming
corporate average fuel economy;E;1;1;Stellantis CAFE compliance as bonus payout trigger
diesel emission;E;1;1;Stellantis provision for US criminal emissions investigations
plastic waste;E;1;1;Total founding member of Alliance to End Plastic Waste
energy use per wafer;E;1;1;ASML product energy efficiency metric per wafer pass
human rights;S;0;1;Total salient issues ASML due diligence Airbus policies
human rights due diligence;S;0;1;ASML process supporting UN Guiding Principles
un guiding principles on business and human rights;S;0;1;ASML basis for human rights due diligence
supply chain human rights;S;0;1;Total supplier selection screens fundamental workplace rights
forced labour;S;0;1;Total prevention as major supply chain concern
child labour;S;0;1;Total strengthened supplier selection methodology
ilo convention;S;0;1;Total and Airbus reference fundamental ILO conventions
local community;S;0;1;Ahold Total ASML Ferrari community relationships
community engagement;S;0;1;ASML investment in Brainport Eindhoven region
occupational health and safety;S;0;1;Ahold audit committee Iberdrola Total employee safety
safety at work;S;0;1;Ahold sustainable retailing performance focus area
accident rate;S;0;1;Iberdrola injury rate per average number of employees
zero accident;S;0;1;Iberdrola networks business safety objective
psychosocial risk;S;0;1;Total global PSR prevention programme in 11 languages
musculoskeletal disorder;S;0;1;Total main cause of occupational illnesses
occupational illness;S;0;1;Total records and trains personnel on prevention
working condition;S;0;1;Total assessed by GoodCorporation Airbus regulated by ILO
fair labour condition;S;0;1;ASML sub-topic with works councils and unions
labour law;S;0;1;ASML risk process monitors compliance with local labour laws
collective bargaining agreement;S;0;1;Ahold ASML Airbus employee coverage disclosure
works council;S;0;1;ASML engagement on terms and conditions of employment
trade union;S;0;1;ASML and PSA negotiation with employee representatives
social dialogue;S;0;1;PSA informing consulting and negotiating with personnel
living wage;S;0;1;Airbus commitment and ASML benchmark assessment
minimum wage;S;0;1;ASML adequate wage review by country
pay transparency;S;0;1;ASML preparing for EU Pay Transparency Directive
equal pay;S;0;1;Iberdrola target to maintain equal pay
gender equality;S;0;1;Iberdrola promotes women in managerial positions
gender diversity;S;0;1;Ahold reports associates and boards by gender
gender balance;S;0;1;Ahold 100 percent gender balance aspiration
female representation;S;0;1;Ahold senior vice president and above metric
women in management;S;0;1;Iberdrola and Total proportion targets
diversity equity and inclusion;S;0;1;Ahold global DE&I framework and 100/100/100 aspiration
inclusion;S;0;0;Ahold ASML Airbus inclusive workplace ambition
non-discrimination;S;0;0;Ferrari material topic and PSA anti-discrimination policy
disability;S;0;0;Total employment agreements and ILO business disability network
employee engagement;S;0;1;Sanofi people survey Ahold associate engagement survey
employee turnover;S;0;1;Ahold associate turnover Sanofi voluntary turnover rate
employee training;S;0;1;Iberdrola training hours and Sanofi iLearn modules
training hour;S;0;1;Iberdrola per employee metric four times European average
talent development;S;0;1;Ahold cultivate best talent Airbus leadership university
talent attraction and retention;S;0;1;Ferrari material topic and Airbus remuneration rationale
work-life balance;S;0;1;Airbus flexible hours and Ferrari material topic
well-being;S;0;0;Sanofi wellness programme Enel social measure ASML sub-topic
employee wellness;S;0;1;Sanofi Take Care programme in 62 countries
employee benefit;S;0;1;Sanofi personalised medical vision and dental coverage
parental leave;S;0;1;Airbus maternity and paternity benefits beyond statutory minimum
childcare;S;0;0;Airbus on-site kindergarten and sponsored childcare services
employee share ownership;S;0;1;Airbus and Nokia employee share purchase plans
workforce;S;0;0;composition and headcount disclosure at Sanofi Airbus ASML
psychological safety;S;0;1;Ahold training and supervisory board deep dive
customer satisfaction;S;0;1;Ferrari KPI Iberdrola service quality ASML customer trust
product safety;S;0;1;Ahold product safety and Ferrari quality of products
product quality;S;0;1;Sanofi quality management system and Ferrari material topic
consumer health;S;0;1;Total limits health and safety risks for consumers
supply chain responsibility;S;0;1;Ferrari material topic on responsible supply chain management
responsible sourcing;S;0;1;ASML sustainable sourcing and Iberdrola supplier sustainability policies
supplier code of conduct;S;0;1;Airbus and ASML impose labour and conduct requirements
supplier sustainability assessment;S;0;1;Nokia supplier score from performance evaluation
supplier audit;S;0;1;ASML audits supplier GHG capability and maturity
philanthropy;S;0;0;PSA partnerships and philanthropy initiatives
corporate volunteering;S;0;1;Iberdrola volunteers and International Volunteer Day
social commitment;S;0;1;Iberdrola key figures section on community action
social dividend;S;0;1;Iberdrola bylaw established contribution to society
shared value;S;0;1;Enel creating shared value through project assessment
societal impact;S;0;1;Enel Total Societal Impact economic social environmental indicators
vulnerable group;S;0;1;Iberdrola COVID programme and AXA vulnerable populations
road safety;S;0;1;AB InBev UN target and Total safety prize
corporate human rights benchmark;S;0;1;Total ranking in the extractive sector
patient safety;S;1;1;Sanofi clinical trials and medical ethics section
clinical trial;S;1;1;Sanofi transparency commitments and bioethics oversight
bioethics;S;1;0;Sanofi committee and advisory bioethics council
medical ethics;S;1;1;Sanofi scientific and medical integrity section
access to healthcare;S;1;1;Sanofi patient access as absolute priority in ecodesign
counterfeiting;S;1;0;Sanofi tamper-proof packaging authentication and serialization
harmful consumption;S;1;1;AB InBev agenda to reduce harmful alcohol consumption
low-alcohol beer;S;1;1;AB InBev no- and low-alcohol product opportunity
healthy eating;S;1;1;Ahold customer health and nutrition ambition
nutrition;S;1;0;Ahold dietitians podcast and healthier product ranges
food bank;S;1;1;Ahold works with food banks to feed the undernourished
inclusive insurance;S;1;1;AXA promotion of insurance for vulnerable populations
conflict mineral;S;1;1;Nokia supplier sustainability evaluation input
rba code of conduct;S;1;1;ASML requires supplier adherence to latest version
material safety data sheet;S;1;1;Total product information for petroleum and chemical products
reach registration;S;1;1;Total chemical product regulatory compliance
product stewardship;S;1;1;Total product steward ensures compliance at market release
voluntary principles on security and human rights;S;1;1;Total governs security forces and private providers
access to energy;S;1;1;Iberdrola Electricity for all programme target
quality of supply;S;1;1;Iberdrola power outage duration improvement target
corporate governance;G;0;1;Dutch Belgian codes and governance statements throughout sample
corporate governance code;G;0;1;compliance statements at Ahold AB InBev Ferrari
corporate governance statement;G;0;1;Ahold requirement under Dutch decree on management reports
annual corporate governance report;G;0;1;Iberdrola report in CNMV prescribed format
board of directors;G;0;1;Iberdrola AXA Ferrari Total governing body
supervisory board;G;0;1;Ahold Deutsche Boerse ASML PSA oversight body
management board;G;0;1;Ahold and ASML executive governing body
executive committee;G;0;1;Ahold Iberdrola Total senior management body
board committee;G;0;1;audit remuneration and nomination committees across firms
audit committee;G;0;1;Iberdrola AXA Ferrari PSA oversight of reporting and risk
remuneration committee;G;0;1;Ahold AXA Ferrari advise board on pay
nomination committee;G;0;1;Ahold and Deutsche Boerse selection and succession duties
esg committee;G;0;1;ASML supervisory board committee discussing climate transition plan
board independence;G;0;1;Ahold Ferrari AXA annually confirm independent members
independent director;G;0;1;AXA Airbus Ferrari board composition requirement
senior independent director;G;0;1;AXA and Stellantis defined role and duties
board evaluation;G;0;1;Ahold and Enel periodic assessment of own performance
board diversity;G;0;1;Ferrari 30 percent policy and Dutch gender board legislation
qualification matrix;G;0;1;Deutsche Boerse shows sustainability competence of board members
succession planning;G;0;1;Ahold and AXA board and management succession processes
board attendance;G;0;1;Ahold and Ferrari report meeting attendance rates
conflict of interest;G;0;1;Ahold Ferrari AB InBev reporting and abstention duties
related party transaction;G;0;1;Ferrari approval process and Enel disclosure
general meeting of shareholders;G;0;1;Ahold Iberdrola Ferrari approve pay and accounts
shareholder right;G;0;1;Ahold corporate governance statement section on shareholder authority
articles of association;G;0;1;Ahold Ferrari ASML basic governance rules
remuneration policy;G;0;1;Ahold AXA ASML Ferrari approved by shareholders
executive remuneration;G;0;1;AXA and Iberdrola senior executive compensation structure
variable remuneration;G;0;1;Iberdrola and AXA annual bonus components
long-term incentive;G;0;1;ASML AXA Enel share-based long-term plans
short-term incentive;G;0;1;ASML and Ahold annual cash incentive plans
performance share;G;0;1;AXA and Ferrari conditional share awards on performance
pay ratio;G;0;1;Ahold CEO compared to average associate remuneration
malus;G;0;0;AXA variable compensation deferral subject to malus mechanism
internal control;G;0;1;Ahold AXA ASML PSA control frameworks and testing
internal control over financial reporting;G;0;1;Ferrari ASML AXA ICOFR programmes and reports
coso framework;G;0;1;Ahold and ASML basis for internal control assessment
internal audit;G;0;1;Ahold and Ferrari independent objective assurance function
external auditor;G;0;1;Ahold and Iberdrola appointment and reporting
auditor independence;G;0;1;Deutsche Boerse statement and AXA declaration
key audit matter;G;0;1;Iberdrola AXA PSA auditor reporting requirement
risk management;G;0;1;Ahold AXA Enel frameworks committees and policies
enterprise risk management;G;0;1;Ahold ERM programme and Airbus ERM audits
risk appetite;G;0;1;Ahold per category and AXA Solvency limit level
three lines of defence;G;0;1;Ahold and Iberdrola control and assurance model
regulatory compliance;G;0;1;Sanofi obligations and ASML violation of laws risk
compliance risk;G;0;1;Ahold very low appetite for regulatory breaches
compliance programme;G;0;1;Airbus Ethics and Compliance Iberdrola compliance unit
code of ethics;G;0;1;Iberdrola Ahold AXA PSA behavioural rules
code of conduct;G;0;1;Total Airbus employee and supplier conduct rules
business ethics;G;0;1;Sanofi training modules and Airbus key risk area
business integrity;G;0;1;Airbus and Nokia programme name for ethics compliance
ethical culture;G;0;1;Iberdrola Ethisphere certification Airbus culture of integrity
anti-corruption;G;0;1;Airbus policy Total PACI Sanofi GRI 205 disclosure
bribery;G;0;0;AB InBev FCPA and UK Bribery Act exposure
anti-bribery management system;G;0;1;Iberdrola ISO 37001 certification renewed
antitrust;G;0;0;AB InBev and ASML competition law compliance exposure
whistleblowing;G;0;0;Sanofi hotline and Airbus alert system
speak-up line;G;0;1;Ahold channel for associates to raise concerns
lobbying;G;0;0;Total sustainable lobbying and Airbus responsible lobbying charter
data privacy;G;0;1;Ahold audit committee update and Airbus compliance area
data protection;G;0;1;ASML regulatory area and Nokia privacy breach risk
cybersecurity;G;0;0;Iberdrola analyses Nokia threats Stellantis vehicle guidelines
information security;G;0;1;Ahold committee update on information and cybersecurity
tax transparency;G;0;1;Iberdrola report on tax transparency of the group
responsible tax;G;0;1;Total adherence to B-Team principles for sustainable taxation
business continuity;G;0;1;Ahold committee topic and Sanofi continuity plans
crisis management;G;0;1;Sanofi and Total global crisis management systems
reputation risk;G;0;1;Enel risk catalog and AB InBev business reputation
export control;G;0;1;Airbus and ASML compliance risk area
governance risk and compliance;G;0;1;Ahold GRC framework and global GRC committee
sustainability due diligence;G;0;1;Ahold audit committee ESG reporting topic
esg-related control;G;0;1;Ahold auditor observations on IT and ESG controls
deferred prosecution agreement;G;0;1;Airbus closed agreements in US UK and France
trade sanction;G;0;1;AB InBev exposure from operations in Cuba
