termino;valido;pilar;sectorial;colocacion;justificacion
ozone layer;1;E;0;0;atmospheric impact term
supply chain responsibility;1;S;0;0;responsible sourcing umbrella
offshore wind;1;E;1;0;utility generation asset
locked-in emission;1;E;0;0;carbon lock-in concept
climate impact;1;E;0;0;climate effect disclosure
materiality matrix;1;TRANS;0;0;materiality process artefact
carbon credit;1;E;0;0;offset instrument
circular economy;1;E;0;0;core circularity term
emission reduction;1;E;0;0;mitigation term
material topic;1;TRANS;0;0;materiality process output
governance structure;1;G;0;0;governance disclosure
corporate governance;1;G;0;0;core governance term
smart grid;1;E;1;0;utility network technology
power purchase agreement;1;E;0;0;renewable electricity sourcing contract
sustainable long-term value creation;0;;0;0;boilerplate value rhetoric
ilo convention;1;S;0;0;labour standards reference
animal welfare;1;E;1;0;food supply chain topic
breeam;1;E;1;0;green building certification
esg target;1;TRANS;0;0;explicit ESG commitment
business integrity;1;G;0;0;ethics and compliance framing
nox emission;1;E;1;0;industrial air pollutant
safety data sheet;1;S;1;0;chemical safety documentation
supplier sustainability score;1;S;0;0;supply chain ESG assessment
environmental performance;1;E;0;0;environmental reporting term
living wage;1;S;0;0;fair pay topic
natural resource;1;E;0;0;resource use term
stakeholder engagement;1;TRANS;0;0;cross pillar engagement process
compliance system;1;G;0;0;compliance governance
employee engagement survey;1;S;0;0;workforce listening practice
non-discrimination;1;S;0;0;equal treatment topic
sasb;1;TRANS;0;0;reporting standard
non-financial performance;1;TRANS;0;0;ESG reporting umbrella
corporate responsibility;1;TRANS;0;0;CSR umbrella term
zero accident;1;S;0;0;safety target
anti-discrimination policy;1;S;0;0;equality policy
governance risk and compliance;1;G;0;0;governance framework
renewable electricity certificate;1;E;0;0;green power instrument
executive remuneration;1;G;0;0;pay disclosure
internal control;1;G;0;1;fires heavily in financial reporting sections
annual corporate governance report;1;G;0;0;governance reporting document
natural capital;1;E;0;0;environmental capital framing
corporate culture;1;G;0;1;generic unless tied to ethics or conduct
human rights due diligence;1;S;0;0;core human rights process
remuneration policy;1;G;0;0;pay governance
counterfeiting;1;S;1;0;product integrity in pharma and luxury
air quality;1;E;0;0;pollution topic
compliance risk;1;G;0;0;compliance governance
sustainable growth;0;;0;0;means durable growth not ESG
reach registration;1;E;1;0;chemical regulation specific
equal pay;1;S;0;0;pay equity
long-term incentive plan;1;G;0;0;remuneration instrument
sustainability reporting;1;TRANS;0;0;reporting umbrella
responsible lobbying;1;G;0;0;political influence governance
supervisory board;1;G;0;0;two tier board organ
corporate governance code;1;G;0;0;governance code compliance
business travel;1;E;0;1;only ESG when tied to emissions
mitigation hierarchy;1;E;1;0;biodiversity offsetting concept
healthy eating;1;S;1;0;food sector nutrition topic
avoided emission;1;E;0;0;climate accounting concept
green project;1;E;0;0;green finance use of proceeds
speak-up culture;1;G;0;0;ethics culture term
pollutant;1;E;0;0;pollution term
board diversity policy;1;G;0;0;board composition policy
climate change;1;E;0;0;core climate term
waste-to-energy;1;E;1;0;waste treatment technology
access to healthcare;1;S;1;0;pharma access topic
litigation;0;;0;0;legal and financial prose without ESG load
talent attraction and retention;1;S;0;0;workforce topic
conflict of interest;1;G;0;0;governance integrity
general meeting of shareholders;1;G;0;0;shareholder governance organ
esg committee;1;G;0;0;board ESG oversight
emission;1;E;0;1;bare form also covers securities issuance in translations
greenhouse gas emission;1;E;0;0;core climate metric
green bond principles;1;E;0;0;green finance standard
limited assurance;1;TRANS;0;0;assurance level typical of sustainability statements
energy consumption;1;E;0;0;energy metric
traceability;1;S;0;1;alone reads as quality or logistics
internal control over financial reporting;0;;0;0;accounting control fires only in audit sections
csr reporting scope;0;;0;0;reporting boilerplate not ESG substance
women in management;1;S;0;0;gender representation metric
pay ratio;1;G;0;1;ambiguous between CEO ratio and gender gap
esg rating;1;TRANS;0;0;external ESG assessment
external assurance;1;TRANS;0;0;verification of sustainability data
scope 3;1;E;0;0;GHG accounting boundary
sustainable finance;1;TRANS;0;0;finance umbrella covering E and S
director independence;1;G;0;0;board independence
diversity and inclusion;1;S;0;0;core DEI term
sustainable retailing;0;;1;0;single company programme name
esg-related control;0;;0;0;ad hoc phrasing appearing once
biodiversity;1;E;0;0;core nature term
sustainability ambition;0;;0;0;vague rhetorical filler
sustainability performance;1;TRANS;0;0;ESG performance umbrella
external auditor;1;G;0;0;audit governance
shareholder rights;1;G;0;0;shareholder protection
ecovadis;1;TRANS;0;0;supplier ESG rating provider
anti-bribery management system;1;G;0;0;certified anti-corruption system
speak-up line;1;G;0;0;ethics reporting channel
workplace safety;1;S;0;0;occupational safety
business continuity;0;;0;0;operational resilience not ESG disclosure
direct emission;1;E;0;0;scope 1 concept
harmful consumption;1;S;1;0;alcohol sector responsible drinking
refrigerant;1;E;1;0;fluorinated gas topic in food and pharma
gri standard;1;TRANS;0;0;reporting standard
consumer health;1;S;0;0;product health topic
sustainability report;1;TRANS;0;0;reporting document
conflict mineral;1;S;1;0;electronics and automotive sourcing
environmental policy;1;E;0;0;environmental governance document
energy use per wafer;0;;1;0;one company technical KPI
esg risk;1;TRANS;0;0;ESG risk framing
work-life balance;1;S;0;0;workforce wellbeing
board diversity;1;G;0;0;board composition topic
s&p global corporate sustainability assessment;1;TRANS;0;0;ESG assessment methodology
anti-bribery;1;G;0;0;corruption prevention
scope 1 emission;1;E;0;0;GHG metric
customer satisfaction;0;;0;0;commercial metric without ESG load
bribery;1;G;0;0;corruption topic
consumer safety;1;S;0;0;product safety
supplier code of conduct;1;S;0;0;supply chain standard
succession planning;1;G;0;0;board and executive succession
electrification;1;E;1;0;energy and automotive transition vocabulary
un guiding principles on business and human rights;1;S;0;0;human rights framework
scope 3 emission;1;E;0;0;value chain GHG metric
global minimum tax;0;;0;0;tax accounting note not ESG disclosure
esg objective;1;TRANS;0;0;stated ESG goal
non-audit service;1;G;0;0;auditor independence indicator
renewable source;1;E;0;0;clean energy sourcing
board composition;1;G;0;0;board structure
emission factor;1;E;0;0;GHG calculation parameter
articles of association;1;G;0;0;corporate governance document
disability;1;S;0;1;insurers use it as a product line
gender equality;1;S;0;0;equality topic
indirect emission;1;E;0;0;scope 2 and 3 concept
electric vehicle;1;E;1;0;automotive and utility vocabulary
carbon neutral;1;E;0;0;climate claim
green energy;1;E;0;0;clean energy claim
sulfur dioxide emission;1;E;1;0;industrial air pollutant
climate scenario;1;E;0;0;climate analysis tool
hard-to-abate emission;1;E;0;0;decarbonisation concept
logistics emission;1;E;0;0;transport scope 3 category
accidental pollution;1;E;0;0;environmental incident
internal carbon price;1;E;0;0;carbon management tool
fair labour condition;1;S;0;0;labour standards
emissions trading system;1;E;0;0;carbon market mechanism
anti-corruption;1;G;0;0;integrity topic
code of ethics;1;G;0;0;ethics document
wind farm;1;E;1;0;renewable generation asset
wastewater;1;E;0;0;water pollution topic
green financing;1;E;0;0;environmental use of proceeds finance
sustainability;1;TRANS;0;0;umbrella ESG term
social dividend;0;;1;0;single company bylaw concept
non-financial information;1;TRANS;0;0;ESG reporting umbrella
iirc;1;TRANS;0;0;integrated reporting framework
whistleblowing;1;G;0;0;ethics reporting
green building;1;E;0;0;sustainable construction
inclusive insurance;1;S;1;0;insurance sector inclusion product
employee engagement;1;S;0;0;workforce engagement
stakeholder dialogue;1;TRANS;0;0;engagement process
water management;1;E;0;0;water stewardship
water management plan;1;E;0;0;water stewardship instrument
collective labour agreement;1;S;0;0;labour relations
hse;1;S;1;0;industrial health safety environment acronym
transparency;0;;0;1;too vague and also financial transparency
sustainable development goal;1;TRANS;0;0;UN goals covering all pillars
Science Based Targets initiative;1;E;0;0;climate target validation body
afforestation;1;E;0;0;carbon sink action
collective bargaining agreement;1;S;0;0;labour relations
renewable installed capacity;1;E;1;0;utility generation metric
audit committee;1;G;0;0;board committee
nomination committee;1;G;0;0;board committee
climate hazard;1;E;0;0;physical climate risk term
well-being;1;S;0;1;generic unless tied to employees or health
fixed remuneration;1;G;0;0;pay structure
forced labour;1;S;0;0;human rights topic
social commitment;0;;0;0;vague rhetorical phrase
reforestation;1;E;0;0;nature restoration
environmental indicator;1;E;0;0;environmental metric
corruption;1;G;0;0;integrity topic
human rights;1;S;0;0;core social term
women in management position;1;S;0;0;gender representation metric
sustainability index;1;TRANS;0;0;ESG index reference
gender diversity;1;S;0;0;diversity metric
taxonomy-aligned;1;E;0;0;EU taxonomy environmental classification
hydroelectric;1;E;1;0;utility generation technology
deferred prosecution agreement;1;G;0;0;corruption enforcement outcome
remuneration committee;1;G;0;0;board committee
palm oil;1;E;1;0;deforestation linked commodity
worlds most ethical companies;1;G;0;0;ethics recognition claim
iss esg;1;TRANS;0;0;ESG rating provider
skills development;1;S;0;0;training topic
fraud prevention;1;G;0;0;integrity controls
landfill;1;E;0;0;waste disposal
product use emission;1;E;0;0;scope 3 use phase
access to energy;1;S;0;0;energy poverty and affordability
life cycle assessment;1;E;0;0;environmental assessment method
economic sanction;1;G;0;0;trade compliance
carbon sink;1;E;0;0;carbon removal concept
carbon literacy;1;E;0;0;climate awareness training
business travel emission;1;E;0;0;scope 3 category
esg;1;TRANS;0;0;umbrella acronym
musculoskeletal disorder;1;S;0;0;occupational health condition
sustainability target;1;TRANS;0;0;ESG commitment
integrated report;1;TRANS;0;0;reporting format
accident rate;1;S;0;0;safety metric
environmental impact;1;E;0;0;core environmental term
gri indicator;1;TRANS;0;0;reporting indicator
working hours;1;S;0;0;labour condition metric
child labour;1;S;0;0;human rights topic
employee commuting;1;E;0;0;scope 3 category
product responsibility;1;S;0;0;product stewardship topic
accountability;0;;0;1;generic governance rhetoric too vague
healthy sales;0;;1;0;single company internal KPI name
employee turnover;1;S;0;0;workforce metric
key audit matter;0;;0;0;audit report boilerplate
ecodesign;1;E;0;0;design for environment
non-financial statement;1;TRANS;0;0;regulated ESG report
climate transition plan;1;E;0;0;decarbonisation plan
independent third party;0;;0;0;generic verification phrase
ghg emission;1;E;0;0;core climate metric
human capital;1;S;0;1;also used as finance and economics term
incident response;0;;0;0;generic IT and operations vocabulary
executive committee;1;G;0;0;management governance body
ghg neutrality;1;E;0;0;climate claim
vulnerable population;1;S;0;0;social vulnerability
supplier sustainability assessment;1;S;0;0;supply chain ESG screening
ethical culture;1;G;0;0;ethics and conduct
esrs;1;TRANS;0;0;sustainability reporting standards
oecd guidelines for multinational enterprises;1;TRANS;0;0;responsible conduct framework spanning pillars
esg reporting;1;TRANS;0;0;reporting umbrella
sustainable development;1;TRANS;0;0;umbrella concept
Good Manufacturing Practice;0;;1;0;pharma quality regulation not ESG disclosure
maternity and paternity leave;1;S;0;0;family leave benefit
occupational illness;1;S;0;0;occupational health metric
employee commuting emission;1;E;0;0;scope 3 category
reputational risk;0;;0;0;generic risk category
ethics training;1;G;0;0;compliance training
employee share ownership;1;S;0;0;employee participation scheme
risk management;0;;0;1;generic and dominated by financial risk
geothermal;1;E;1;0;renewable generation technology
trade sanction;1;G;0;0;trade compliance
supply chain emission;1;E;0;0;scope 3 concept
labour law;1;S;0;0;labour compliance
eco-design;1;E;0;0;design for environment
employee wellness programme;1;S;0;0;workforce health programme
corporate sustainability assessment;1;TRANS;0;0;ESG assessment methodology
board of directors;1;G;0;0;core governance organ
three lines of defense;1;G;0;0;risk governance model spelling variant
low-alcohol beer;1;S;1;0;beverage sector responsible drinking
carbon emission;1;E;0;0;climate metric
socially responsible investor;1;TRANS;0;0;ESG investor reference
corporate human rights benchmark;1;S;0;0;human rights ranking
workforce;0;;0;1;generic headcount noun without ESG load
long-term incentive;1;G;0;0;pay structure
stakeholder;0;;0;1;too vague alone to measure anything
physical risk;1;E;0;1;needs climate qualifier to disambiguate
employee share ownership plan;1;S;0;0;employee participation scheme
recycled content;1;E;0;0;circularity metric
recycling;1;E;0;0;waste circularity
supply chain human rights;1;S;0;0;human rights in value chain
environmental damage;1;E;0;0;environmental harm term
scenario analysis;0;;0;1;also used for remuneration scenarios
groundwater;1;E;0;0;water and contamination topic
internal audit;1;G;0;0;control function
vehicle recall;1;S;1;0;automotive product safety
injury rate;1;S;0;0;safety metric
scope 2 emission;1;E;0;0;GHG metric
diversity equity and inclusion;1;S;0;0;core DEI term
female representation;1;S;0;0;gender metric
ghg protocol;1;E;0;0;GHG accounting standard
supplier audit;1;S;0;0;supply chain verification
materiality assessment;1;TRANS;0;0;ESG materiality process
works council;1;S;0;0;employee representation body
un guiding principles;1;S;0;0;human rights framework
shared value;0;;0;1;vague CSR jargon
code of conduct;1;G;0;0;ethics document
corporate governance statement;1;G;0;0;governance report
vehicle safety;1;S;1;0;automotive product safety
alert system;1;G;0;1;also reads as IT alerting
employee representative;1;S;0;0;labour representation
biodiversity action plan;1;E;0;0;nature management plan
water stress;1;E;0;0;water scarcity metric
materiality;1;TRANS;0;1;strong accounting homograph
non-financial reporting;1;TRANS;0;0;ESG reporting umbrella
psychological safety;1;S;0;0;workplace culture topic
it control;0;;0;0;IT and accounting control not ESG
Ethisphere;1;G;0;0;ethics ranking body
low-carbon energy;1;E;0;0;clean energy term
qualification matrix;1;G;0;1;board skills matrix but ambiguous alone
emission intensity;1;E;0;0;normalised climate metric
gender balance;1;S;0;0;gender metric
smart meter;1;E;1;0;utility technology
decarbonisation;1;E;0;0;core climate term
food waste;1;E;1;0;food and retail waste topic
stakeholder expectation;1;TRANS;0;0;materiality process input
esg performance measure;1;TRANS;0;0;ESG linked metric
cdp;1;E;0;0;environmental disclosure platform
coal-fired power plant;1;E;1;0;utility asset
soil contamination;1;E;0;0;pollution topic
auditor independence;1;G;0;0;audit governance
waste heat;1;E;0;0;energy recovery topic
business ethics;1;G;0;0;ethics umbrella
community engagement;1;S;0;0;community relations
hydrocarbon spill;1;E;1;0;oil and gas incident
risk committee;1;G;0;0;board committee
quality management system;0;;0;0;operational quality not ESG
un global compact;1;TRANS;0;0;multi pillar voluntary initiative
chief sustainability officer;1;G;0;0;sustainability governance role
pollution;1;E;0;0;core environmental term
2030 agenda;1;TRANS;0;0;UN sustainable development agenda
esg score;1;TRANS;0;0;external ESG assessment
extreme weather event;1;E;0;0;physical climate risk
cage free;1;E;1;0;animal welfare sourcing in food
remuneration report;1;G;0;0;pay disclosure document
product safety;1;S;0;0;consumer protection
management board;1;G;0;0;two tier board organ
scope 2;1;E;0;0;GHG accounting boundary
controlling shareholder;1;G;0;0;ownership structure
climate-related risk;1;E;0;0;climate risk term
cybersecurity;1;G;0;0;security governance topic
green deal;1;E;0;0;EU climate policy package
carbon removal;1;E;0;0;climate mitigation lever
tax transparency;1;G;0;0;responsible tax disclosure
risk appetite;0;;0;0;financial risk jargon
fossil fuel;1;E;0;0;energy transition term
employee;0;;0;1;bare noun far too generic
supply chain responsible management;0;;0;0;malformed variant of responsible supply chain
iso 14001;1;E;0;0;environmental management certification
malus;1;G;0;1;insurers use bonus-malus in pricing
carbon footprint;1;E;0;0;core climate metric
quality of supply;0;;1;0;operational service metric not ESG
csr policy;1;TRANS;0;0;CSR governance document
clean energy;1;E;0;0;energy transition term
deforestation;1;E;0;0;nature impact topic
green electricity;1;E;0;0;clean power sourcing
pharmacovigilance;1;S;1;0;pharma patient safety function
water footprint;1;E;0;0;water metric
material safety data sheet;1;S;1;0;chemical safety documentation
paris agreement;1;E;0;0;climate treaty reference
flaring;1;E;1;0;oil and gas emission practice
co2 emission;1;E;0;0;climate metric
trade union;1;S;0;0;labour relations
voting right;1;G;0;0;shareholder rights
sustainability committee;1;G;0;0;board ESG oversight
taxonomy-eligible;1;E;0;0;EU taxonomy classification
responsible sourcing;1;S;0;0;supply chain ESG
sbti;1;E;0;0;climate target initiative
nutrition;1;S;1;0;food sector product health topic
regulatory compliance;0;;0;0;generic compliance prose
collective bargaining;1;S;0;0;labour relations
re100;1;E;0;0;renewable electricity initiative
global reporting initiative;1;TRANS;0;0;reporting standard setter
disability employment;1;S;0;0;inclusion metric
remote working;1;S;0;0;work flexibility topic
governance risk and compliance framework;1;G;0;0;governance framework
environmental protection;1;E;0;0;environmental umbrella
methane emission;1;E;1;0;oil gas and agriculture emission
local community;1;S;0;0;community relations
scope 1;1;E;0;0;GHG accounting boundary
minimum wage;1;S;0;0;fair pay topic
waste;1;E;0;0;core environmental term
rba code of conduct;1;S;1;0;electronics industry supply chain standard
carbon offset;1;E;0;0;offsetting instrument
coso framework;1;G;0;0;internal control governance framework
environmental footprint;1;E;0;0;environmental impact metric
charging point;1;E;1;0;electric mobility infrastructure
medical ethics;1;S;1;0;pharma ethics topic
esg factor;1;TRANS;0;0;ESG consideration
diversity policy;1;S;0;0;diversity governance document
sfdr;1;TRANS;1;0;financial sector ESG disclosure regulation
ethics and compliance;1;G;0;0;integrity function
sustainability policy;1;TRANS;0;0;ESG governance document
csrd;1;TRANS;0;0;EU sustainability reporting directive
ethical principle;1;G;0;0;ethics framing
non-financial rating agency;1;TRANS;0;0;ESG rating provider
renewable energy;1;E;0;0;core clean energy term
sustainability-linked bond;1;TRANS;0;0;ESG linked financing instrument
lobbying;1;G;0;0;political influence topic
employee wellness;1;S;0;0;workforce health
sustainability strategy;1;TRANS;0;0;ESG strategy umbrella
board sustainability expertise;1;G;0;0;board competence on ESG
climate scenario analysis;1;E;0;0;climate analysis method
product recall;1;S;0;0;product safety event
circularity;1;E;0;0;circular economy term
sustainable value creation;0;;0;0;boilerplate value rhetoric
employee benefit;0;;0;1;accounting caption dominates usage
enterprise risk management;1;G;0;0;risk governance framework
eu taxonomy;1;E;0;0;environmental classification system
solar panel;1;E;1;0;renewable technology asset
climate change mitigation;1;E;0;0;core climate term
philanthropy;1;S;0;0;community investment
private security provider;1;S;1;0;security and human rights in extractives
eligible green project;1;E;0;0;green bond use of proceeds
energy management system;1;E;0;0;certified energy management
bioethics;1;S;1;0;pharma research ethics
personal data;1;S;0;0;privacy topic
variable remuneration;1;G;0;0;pay structure
ocean freight;0;;1;0;logistics mode only ESG with emissions
groundwater contamination;1;E;0;0;pollution topic
speak-up;1;G;0;1;fragment needing culture or line
psychosocial risk;1;S;0;0;occupational health topic
board evaluation;1;G;0;0;board effectiveness review
climate risk;1;E;0;0;climate risk term
energy attribute certificate;1;E;0;0;renewable energy instrument
safety at work;1;S;0;0;occupational safety
water discharge;1;E;0;0;water metric
installed renewable capacity;1;E;1;0;utility generation metric
voluntary principles on security and human rights;1;S;1;0;extractives human rights framework
independent director;1;G;0;0;board independence
environmental risk;1;E;0;0;environmental risk term
leed;1;E;1;0;green building certification
board tenure;1;G;0;0;board composition metric
water consumption;1;E;0;0;water metric
cage-free egg;1;E;1;0;food retail animal welfare
sustainable aviation fuel;1;E;1;0;aviation decarbonisation fuel
ecosystem;0;;0;1;digital and business ecosystem dominate usage
climate objective;1;E;0;0;climate target
green bond;1;E;0;0;green finance instrument
occupational health and safety;1;S;0;0;core safety term
corsia;1;E;1;0;aviation carbon scheme
esg agenda;0;;0;0;vague rhetorical filler
climate resilience;1;E;0;0;adaptation term
pharmaceutical residue;1;E;1;0;pharma in the environment
climate action;1;E;0;0;climate commitment framing
board independence;1;G;0;0;board governance
msci esg rating;1;TRANS;0;0;ESG rating reference
iso 50001;1;E;0;0;energy management certification
related party transaction;1;G;0;0;governance transparency topic
product stewardship;1;E;0;0;product lifecycle responsibility
value chain emission;1;E;0;0;scope 3 concept
coal-fired plant;1;E;1;0;utility asset
corporate average fuel economy;1;E;1;0;automotive emission regulation
reputation risk;0;;0;0;generic risk category
competition law;1;G;0;0;antitrust compliance
pay transparency;1;S;0;0;pay equity disclosure
green investment;1;E;0;0;environmental capital allocation
waste generated;1;E;0;0;waste metric
environmental management system;1;E;0;0;environmental governance system
parental leave;1;S;0;0;family leave benefit
training hour;1;S;0;0;training metric
clinical trial;0;;1;0;core pharma activity not ESG disclosure
corporate social responsibility;1;TRANS;0;0;CSR umbrella
biofuel;1;E;1;0;alternative fuel in energy sector
environmental compliance;1;E;0;0;environmental regulation compliance
esg data;1;TRANS;0;0;ESG information
green hydrogen;1;E;1;0;energy sector decarbonisation vector
data privacy;1;S;0;0;privacy topic
societal impact;1;S;0;0;social impact framing
compliance programme;1;G;0;0;compliance governance
environmental impact assessment;1;E;0;0;environmental assessment process
esg topic;1;TRANS;0;0;ESG subject matter
water withdrawal;1;E;0;0;water metric
responsible supply chain management;1;S;0;0;supply chain ESG
responsible tax;1;G;0;0;tax governance
sustainability statements;1;TRANS;0;0;regulated report section
site remediation;1;E;0;0;land contamination remediation
environmental product declaration;1;E;0;0;environmental product disclosure
