termino;pilar;sectorial;colocacion;justificacion
clinical trial;S;1;0;transparencia sobre ensayos clinicos del comite de bioetica
bioethics;S;1;0;comite de bioetica y consejo asesor independiente de Sanofi
medical ethics;S;1;1;etica medica y bioetica como apartado del informe
pharmacovigilance;S;1;0;buenas practicas de farmacovigilancia exigidas por el regulador
Good Manufacturing Practice;S;1;0;buenas practicas de fabricacion del sistema de calidad
quality management system;S;0;1;sistema de gestion de calidad auditado internamente
product traceability;S;0;1;serializacion y trazabilidad frente a la falsificacion
counterfeiting;S;1;0;proteccion de productos frente a falsificacion y manipulacion
vehicle recall;S;1;1;campanas de llamada a revision obligatorias en Mexico
access to energy;S;1;1;programa Electricidad para todos de Iberdrola
access to healthcare;S;1;1;acceso de los pacientes a la asistencia sanitaria
inclusive insurance;S;1;1;seguros inclusivos para poblaciones vulnerables de AXA
vulnerable group;S;0;1;apoyo a los colectivos mas vulnerables ante la pandemia
conflict mineral;S;1;1;minerales de conflicto en los programas de auditoria de Nokia
access to land;S;1;1;acceso a la tierra de las comunidades locales como asunto saliente
private security provider;S;1;1;empresas de seguridad privada formadas en los VPSHR
corporate governance;G;0;0;seccion de gobierno corporativo presente en todos los informes
corporate governance code;G;0;1;codigo holandes belga o de buen gobierno como referencia
governance structure;G;0;1;estructura de gobierno descrita con diagrama en Ahold
governance body;G;0;1;organos de gobierno y su diversidad segun GRI 405-1
board of directors;G;0;1;organo de administracion en Iberdrola Ferrari AXA y Airbus
supervisory board;G;0;1;consejo de supervision de las estructuras duales holandesa y alemana
management board;G;0;1;consejo de direccion supervisado por el consejo de supervision
executive committee;G;0;1;comite ejecutivo con responsabilidad sobre la estrategia ESG
board committee;G;0;1;comites del consejo con poderes consultivos
audit committee;G;0;1;comite de auditoria finanzas y riesgos
remuneration committee;G;0;1;comite de retribuciones que propone la politica retributiva
nomination committee;G;0;1;comite de gobierno y nombramientos
sustainability committee;G;0;1;comite de salud y sostenibilidad y de desarrollo sostenible
ESG committee;G;0;1;comite ESG del consejo de supervision de ASML
board attendance;G;0;1;asistencia de los consejeros a las reuniones del consejo
board composition;G;0;1;composicion y evaluacion periodica de los organos
board evaluation;G;0;1;evaluacion periodica del consejo bajo supervision de experto externo
board tenure;G;0;1;mandatos y calendario de reeleccion de los consejeros
board diversity;G;0;1;diversidad de los organos de gobierno segun el codigo holandes
board diversity policy;G;0;1;politica de diversidad del consejo en Ferrari e Iberdrola
director independence;G;0;1;independencia de los consejeros segun la provision 2.1.8
independent director;G;0;1;consejero independiente en AXA Ferrari y Airbus
senior independent director;G;0;1;consejero independiente coordinador en AXA y Stellantis
succession planning;G;0;1;planes de sucesion del consejo y de la alta direccion
conflict of interest;G;0;0;deber de comunicar conflictos de interes al presidente
articles of association;G;0;1;estatutos sociales y principios basicos de gobierno
general meeting of shareholders;G;0;1;junta general que aprueba politica retributiva y nombramientos
shareholder rights;G;0;1;derechos de los accionistas segun el decreto holandes
voting rights;G;0;1;derechos de voto y umbral de oferta publica obligatoria
special voting share;G;0;1;acciones de voto especial del registro de lealtad de Ferrari
loyalty voting structure;G;0;1;estructura de voto de lealtad en Ferrari y Stellantis
change of control;G;0;1;cambio de control definido en los terminos de las acciones especiales
controlling shareholder;G;0;1;accionista de control del Estado italiano en Enel
related party transaction;G;0;1;revision y aprobacion de operaciones con partes vinculadas
remuneration policy;G;0;1;politica de remuneracion aprobada por la junta general
remuneration report;G;0;1;informe anual de remuneraciones de los consejeros
variable remuneration;G;0;1;componentes variables de la retribucion de los ejecutivos
fixed remuneration;G;0;1;retribucion fija y prima de asistencia de los consejeros
executive compensation;G;0;1;compensacion de la direccion ejecutiva revisada por el comite
pay ratio;G;0;1;ratio entre la retribucion del consejero delegado y la media
long-term incentive plan;G;0;1;plan de incentivos a largo plazo ligado a metricas ESG
short-term incentive;G;0;1;multiplicador del incentivo anual aprobado por el consejo
malus;G;0;0;mecanismo de malus sobre la retribucion variable diferida de AXA
internal control;G;0;0;sistema de control interno evaluado por el comite de auditoria
internal control over financial reporting;G;0;1;marco COSO de control interno sobre la informacion financiera
internal audit;G;0;1;funcion de auditoria interna evaluada por un tercero independiente
external auditor;G;0;1;auditor externo independiente nombrado por la junta
auditor independence;G;0;1;declaracion de independencia del auditor externo
non-audit service;G;0;1;prohibicion y aprobacion de servicios distintos de la auditoria
key audit matter;G;0;1;cuestiones clave de auditoria comunicadas al comite
risk management;G;0;0;sistema de gestion de riesgos supervisado por el consejo
enterprise risk management;G;0;1;programa ERM con revision semestral incluidos los riesgos ESG
risk appetite;G;0;1;apetito de riesgo definido por el consejo para cada categoria
three lines of defense;G;0;1;modelo de tres lineas de defensa en Ahold e Iberdrola
compliance risk;G;0;1;riesgo de incumplimiento de leyes politicas y procedimientos
compliance system;G;0;1;sistema de cumplimiento certificado UNE 19601 en Iberdrola
regulatory compliance;G;0;1;obligaciones de cumplimiento regulatorio de la actividad
code of ethics;G;0;1;codigo etico aprobado por el consejo y actualizado periodicamente
code of conduct;G;0;1;codigo de conducta y sus principios difundidos a terceros
supplier code of conduct;G;0;1;codigo de conducta de proveedores en Airbus y ASML
business ethics;G;0;1;etica empresarial y anticorrupcion como area de riesgo
business integrity;G;0;1;programa de integridad de negocio de Airbus y Sanofi
ethical principle;G;0;1;principios eticos que fundamentan el marco GRC
anti-corruption;G;0;0;politica anticorrupcion y adhesion a la iniciativa PACI
anti-bribery;G;0;1;sistema de gestion antisoborno certificado ISO 37001
corruption;G;0;0;prohibicion de pagos indebidos a funcionarios extranjeros
whistle-blowing hotline;G;0;1;canal de denuncias con cifras de uso en Sanofi
speak-up culture;G;0;1;linea Speak Up y cultura de hablar sin temor
ethics training;G;0;1;modulos de formacion en etica e integridad seguidos por empleados
fraud prevention;G;0;1;politicas de prevencion y deteccion del fraude
deferred prosecution agreement;G;0;1;acuerdos de enjuiciamiento diferido cerrados por Airbus
antitrust;G;0;0;leyes de competencia y escrutinio regulatorio en AB InBev
export control;G;0;1;cumplimiento de control de exportaciones en Airbus y ASML
economic sanction;G;0;1;sanciones economicas y comerciales como riesgo reputacional
litigation;G;0;0;litigios reportados periodicamente al comite de auditoria
data privacy;G;0;1;privacidad de datos actualizada trimestralmente al comite
data protection;G;0;1;proteccion de datos en la lista de normativa aplicable de ASML
cybersecurity;G;0;0;analisis de ciberseguridad como objetivo de gobernanza de Iberdrola
information security;G;0;1;informacion y ciberseguridad revisadas por el comite de auditoria
IT control;G;0;1;controles generales de tecnologia dentro del marco de control interno
business continuity;G;0;1;continuidad del negocio y proteccion de activos
crisis management;G;0;1;plan de gestion de crisis ante catastrofes naturales
incident response;G;0;1;tendencias incidentes y respuesta discutidos por el comite
tax transparency;G;0;1;informe de transparencia fiscal del grupo Iberdrola
responsible tax;G;0;1;adhesion a los principios B-Team de fiscalidad sostenible
global minimum tax;G;0;1;tipo minimo global del pilar II de la OCDE
lobbying;G;0;0;posicionamiento publico y lobby sobre politica climatica
responsible lobbying;G;0;1;carta de lobby responsable de Airbus
reputation risk;G;0;1;riesgo de danar la imagen publica en el catalogo de Enel
corporate culture;G;0;1;cultura corporativa y etica como categoria de riesgo de Enel
governance risk and compliance framework;G;0;1;marco GRC con comite global presidido por el CLO
Chief Sustainability Officer;G;0;1;creacion de un rol dedicado a sostenibilidad en el comite ejecutivo
board sustainability expertise;G;0;1;matriz de cualificacion con experiencia en sostenibilidad
Ethisphere;G;0;0;reconocimiento como una de las empresas mas eticas del mundo
