termino;clave;pilar;pilar_disenso;sectorial;sectorial_disenso;colocacion;consenso;n_revisores;revisores;estado_vocabulario;cubierto_por;justificacion
corporate governance;corporate governance;G;;0;0;1;maximo;3;1+2+3;cubierto;governance;Dutch Belgian codes and governance statements throughout sample
corporate governance code;corporate governance code;G;;0;0;1;maximo;3;1+2+3;cubierto;governance;compliance statements at Ahold AB InBev Ferrari
crisis management;crisis management;G;;0;0;1;maximo;3;1+2+3;HUECO;;Sanofi and Total global crisis management systems
cybersecurity;cybersecurity;G;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola analyses Nokia threats Stellantis vehicle guidelines
data privacy;data privacy;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold audit committee update and Airbus compliance area
data protection;data protection;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML regulatory area and Nokia privacy breach risk
enterprise risk management;enterprise risk management;G;;0;0;1;maximo;3;1+2+3;cubierto;risk management;Ahold ERM programme and Airbus ERM audits
esg committee;esg committee;G;;0;0;1;maximo;3;1+2+3;cubierto;esg;ASML supervisory board committee discussing climate transition plan
executive committee;executive committee;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold Iberdrola Total senior management body
export control;export control;G;;0;1;1;maximo;3;1+2+3;HUECO;;Airbus and ASML compliance risk area
external auditor;external auditor;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold and Iberdrola appointment and reporting
general meeting of shareholders;general meeting of shareholder;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold Iberdrola Ferrari approve pay and accounts
independent director;independent director;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;AXA Airbus Ferrari board composition requirement
information security;information security;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold committee update on information and cybersecurity
internal audit;internal audit;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold and Ferrari independent objective assurance function
internal control;internal control;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold AXA ASML PSA control frameworks and testing
internal control over financial reporting;internal control over financial reporting;G;;0;0;1;maximo;3;1+2+3;cubierto;internal control;Ferrari ASML AXA ICOFR programmes and reports
lobbying;lobbying;G;;0;0;0;maximo;3;1+2+3;en vocabulario;;Total sustainable lobbying and Airbus responsible lobbying charter
malus;malus;G;;0;0;0;maximo;3;1+2+3;HUECO;;AXA variable compensation deferral subject to malus mechanism
management board;management board;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold and ASML executive governing body
nomination committee;nomination committee;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold and Deutsche Boerse selection and succession duties
pay ratio;pay ratio;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold CEO compared to average associate remuneration
regulatory compliance;regulatory compliance;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi obligations and ASML violation of laws risk
related party transaction;related party transaction;G;;0;0;1;maximo;3;1+2+3;cubierto;related party;Ferrari approval process and Enel disclosure
remuneration committee;remuneration committee;G;;0;0;1;maximo;3;1+2+3;cubierto;remuneration;Ahold AXA Ferrari advise board on pay
remuneration policy;remuneration policy;G;;0;0;1;maximo;3;1+2+3;cubierto;remuneration;Ahold AXA ASML Ferrari approved by shareholders
risk appetite;risk appetite;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold per category and AXA Solvency limit level
risk management;risk management;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold AXA Enel frameworks committees and policies
shareholder rights;shareholder right;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold corporate governance statement section on shareholder authority
short-term incentive;short term incentive;G;;0;0;1;maximo;3;1+2+3;HUECO;;ASML and Ahold annual cash incentive plans
succession planning;succession planning;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold and AXA board and management succession processes
supervisory board;supervisory board;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold Deutsche Boerse ASML PSA oversight body
supplier code of conduct;supplier code of conduct;G;G/S;0;0;1;maximo;3;1+2+3;cubierto;code of conduct;Airbus and ASML impose labour and conduct requirements
sustainability committee;sustainability committee;G;G/TRANS;0;0;1;maximo;3;1+2+3;cubierto;sustainability;Ahold Ferrari Iberdrola AXA board committees on sustainability
tax transparency;tax transparency;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola report on tax transparency of the group
variable remuneration;variable remuneration;G;;0;0;1;maximo;3;1+2+3;cubierto;remuneration;Iberdrola and AXA annual bonus components
access to energy;access to energy;S;;1;0;1;maximo;3;1+2+3;HUECO;;Iberdrola Electricity for all programme target
access to healthcare;access to healthcare;S;;1;0;1;maximo;3;1+2+3;HUECO;;Sanofi patient access as absolute priority in ecodesign
accident rate;accident rate;S;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola injury rate per average number of employees
bioethics;bioethic;S;;1;0;0;maximo;3;1+2+3;HUECO;;Sanofi committee and advisory bioethics council
child labour;child labor;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Total strengthened supplier selection methodology
childcare;childcare;S;;0;0;0;maximo;3;1+2+3;HUECO;;Airbus on-site kindergarten and sponsored childcare services
clinical trial;clinical trial;S;;1;0;0;maximo;3;1+2+3;HUECO;;Sanofi transparency commitments and bioethics oversight
collective bargaining agreement;collective bargaining agreement;S;;0;0;1;maximo;3;1+2+3;cubierto;collective bargaining;Ahold ASML Airbus employee coverage disclosure
community engagement;community engagement;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML investment in Brainport Eindhoven region
conflict mineral;conflict mineral;S;;1;0;1;maximo;3;1+2+3;HUECO;;Nokia supplier sustainability evaluation input
corporate volunteering;corporate volunteering;S;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola volunteers and International Volunteer Day
counterfeiting;counterfeiting;S;;1;0;0;maximo;3;1+2+3;HUECO;;Sanofi tamper-proof packaging authentication and serialization
customer satisfaction;customer satisfaction;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ferrari KPI Iberdrola service quality ASML customer trust
diversity equity and inclusion;diversity equity and inclusion;S;;0;0;1;maximo;3;1+2+3;cubierto;diversity;Ahold global DE&I framework and 100/100/100 aspiration
employee engagement;employee engagement;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi people survey Ahold associate engagement survey
employee training;employee training;S;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola training hours and Sanofi iLearn modules
employee turnover;employee turnover;S;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold associate turnover Sanofi voluntary turnover rate
equal pay;equal pay;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola target to maintain equal pay
fair labour condition;fair labor condition;S;;0;0;1;maximo;3;1+2+3;cubierto;fair labor;ASML sub-topic with works councils and unions
female representation;female representation;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold senior vice president and above metric
forced labour;forced labor;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Total prevention as major supply chain concern
gender balance;gender balance;S;;0;0;1;maximo;3;1+2+3;cubierto;gender;Ahold 100 percent gender balance aspiration
gender diversity;gender diversity;S;;0;0;1;maximo;3;1+2+3;cubierto;diversity;Ahold reports associates and boards by gender
gender equality;gender equality;S;;0;0;1;maximo;3;1+2+3;cubierto;equality;Iberdrola promotes women in managerial positions
harmful consumption;harmful consumption;S;;1;0;1;maximo;3;1+2+3;HUECO;;AB InBev agenda to reduce harmful alcohol consumption
healthy eating;healthy eating;S;;1;0;1;maximo;3;1+2+3;HUECO;;Ahold customer health and nutrition ambition
human rights;human right;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Total salient issues ASML due diligence Airbus policies
human rights due diligence;human right due diligence;S;;0;0;1;maximo;3;1+2+3;cubierto;due diligence;ASML process supporting UN Guiding Principles
ilo convention;ilo convention;S;;0;0;1;maximo;3;1+2+3;cubierto;ilo;Total and Airbus reference fundamental ILO conventions
inclusive insurance;inclusive insurance;S;;1;0;1;maximo;3;1+2+3;cubierto;inclusive;AXA promotion of insurance for vulnerable populations
labour law;labor law;S;;0;0;1;maximo;3;1+2+3;HUECO;;ASML risk process monitors compliance with local labour laws
living wage;living wage;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Airbus commitment and ASML benchmark assessment
local community;local community;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold Total ASML Ferrari community relationships
medical ethics;medical ethics;S;;1;0;1;maximo;3;1+2+3;HUECO;;Sanofi scientific and medical integrity section
minimum wage;minimum wage;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML adequate wage review by country
musculoskeletal disorder;musculoskeletal disorder;S;;0;0;0;maximo;3;1+2+3;HUECO;;Total main cause of occupational illnesses
non-discrimination;non discrimination;S;;0;0;0;maximo;3;1+2+3;cubierto;discrimination;Ferrari material topic and PSA anti-discrimination policy
occupational health and safety;occupational health and safety;S;;0;0;1;maximo;3;1+2+3;cubierto;occupational health;Ahold audit committee Iberdrola Total employee safety
occupational illness;occupational illness;S;;0;0;1;maximo;3;1+2+3;HUECO;;Total records and trains personnel on prevention
patient safety;patient safety;S;;1;0;1;maximo;3;1+2+3;HUECO;;Sanofi clinical trials and medical ethics section
pay transparency;pay transparency;S;;0;0;1;maximo;3;1+2+3;cubierto;transparency;ASML preparing for EU Pay Transparency Directive
philanthropy;philanthropy;S;;0;0;0;maximo;3;1+2+3;en vocabulario;;PSA partnerships and philanthropy initiatives
product quality;product quality;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi quality management system and Ferrari material topic
product safety;product safety;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold product safety and Ferrari quality of products
psychological safety;psychological safety;S;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold training and supervisory board deep dive
psychosocial risk;psychosocial risk;S;;0;0;1;maximo;3;1+2+3;HUECO;;Total global PSR prevention programme in 11 languages
responsible sourcing;responsible sourcing;S;S/TRANS;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML sustainable sourcing and Iberdrola supplier sustainability policies
road safety;road safety;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;AB InBev UN target and Total safety prize
social commitment;social commitment;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola key figures section on community action
social dialogue;social dialogue;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;PSA informing consulting and negotiating with personnel
societal impact;societal impact;S;S/TRANS;0;0;1;maximo;3;1+2+3;HUECO;;Enel Total Societal Impact economic social environmental indicators
talent attraction and retention;talent attraction and retention;S;;0;0;1;maximo;3;1+2+3;HUECO;;Ferrari material topic and Airbus remuneration rationale
talent development;talent development;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold cultivate best talent Airbus leadership university
trade union;trade union;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML and PSA negotiation with employee representatives
training hour;training hour;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola per employee metric four times European average
voluntary principles on security and human rights;voluntary principle on security and human right;S;;1;1;0;maximo;3;1+2+3;cubierto;human right;Total governs security forces and private providers
work-life balance;work life balance;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;Airbus flexible hours and Ferrari material topic
workforce;workforce;S;;0;0;0;maximo;3;1+2+3;HUECO;;composition and headcount disclosure at Sanofi Airbus ASML
working condition;working condition;S;;0;0;1;maximo;3;1+2+3;HUECO;;Total assessed by GoodCorporation Airbus regulated by ILO
works council;works council;S;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML engagement on terms and conditions of employment
2030 agenda;2030 agenda;TRANS;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola commitment to United Nations 2030 Agenda
corporate social responsibility;corporate social responsibility;TRANS;;0;0;0;maximo;3;1+2+3;cubierto;social responsibility;Total and PSA use CSR as cross-pillar umbrella
csrd;csrd;TRANS;;0;0;0;maximo;3;1+2+3;en vocabulario;;Corporate Sustainability Reporting Directive implementation discussed by four firms
double materiality;double materiality;TRANS;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold and ASML CSRD impact and financial materiality
dow jones sustainability index;dow jone sustainability index;TRANS;;0;0;0;maximo;3;1+2+3;cubierto;sustainability;AXA and Total link pay and reputation to DJSI
