termino;clave;r1_detecciones;r2_aprobaciones;consenso_r1;consenso_r2;estable;pilar_r1;pilar_r2;pilar_coincide;pilar_disenso_r2;sectorial_r2;colocacion_r2;estado_vocabulario;cubierto_por
corporate governance code;corporate governance code;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;governance
cybersecurity;cybersecurity;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
enterprise risk management;enterprise risk management;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;risk management
esg committee;esg committee;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;esg
executive committee;executive committee;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
export control;export control;3;3;máximo;máximo;1;G;G;1;;1;0;HUECO;
external auditor;external auditor;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
general meeting of shareholders;general meeting of shareholder;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
independent director;independent director;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
information security;information security;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
internal audit;internal audit;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
internal control;internal control;3;3;máximo;máximo;1;G;G;1;;0;1;en vocabulario;
lobbying;lobbying;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
malus;malus;3;3;máximo;máximo;1;G;G;1;;0;1;HUECO;
management board;management board;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
nomination committee;nomination committee;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
pay ratio;pay ratio;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
related party transaction;related party transaction;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;related party
remuneration committee;remuneration committee;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;remuneration
remuneration policy;remuneration policy;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;remuneration
shareholder rights;shareholder right;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
short-term incentive;short term incentive;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
succession planning;succession planning;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
supervisory board;supervisory board;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
sustainability committee;sustainability committee;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;sustainability
tax transparency;tax transparency;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
variable remuneration;variable remuneration;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;remuneration
access to energy;access to energy;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
access to healthcare;access to healthcare;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
accident rate;accident rate;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
bioethics;bioethic;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
child labour;child labor;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
childcare;childcare;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
collective bargaining agreement;collective bargaining agreement;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;collective bargaining
community engagement;community engagement;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
conflict mineral;conflict mineral;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
corporate volunteering;corporate volunteering;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
counterfeiting;counterfeiting;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
data privacy;data privacy;3;3;máximo;máximo;1;G;S;0;;0;0;en vocabulario;
data protection;data protection;3;3;máximo;máximo;1;G;S;0;;0;0;en vocabulario;
diversity equity and inclusion;diversity equity and inclusion;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;diversity
employee engagement;employee engagement;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
employee training;employee training;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
employee turnover;employee turnover;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
equal pay;equal pay;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
fair labour condition;fair labor condition;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;fair labor
female representation;female representation;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
forced labour;forced labor;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
gender balance;gender balance;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;gender
gender diversity;gender diversity;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;diversity
gender equality;gender equality;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;equality
harmful consumption;harmful consumption;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
healthy eating;healthy eating;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
human rights;human right;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
human rights due diligence;human right due diligence;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;due diligence
ilo convention;ilo convention;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;ilo
inclusive insurance;inclusive insurance;3;3;máximo;máximo;1;S;S;1;;1;0;cubierto;inclusive
labour law;labor law;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
living wage;living wage;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
local community;local community;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
medical ethics;medical ethics;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
minimum wage;minimum wage;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
musculoskeletal disorder;musculoskeletal disorder;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
non-discrimination;non discrimination;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;discrimination
occupational health and safety;occupational health and safety;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;occupational health
occupational illness;occupational illness;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
patient safety;patient safety;3;3;máximo;máximo;1;S;S;1;;1;0;HUECO;
pay transparency;pay transparency;3;3;máximo;máximo;1;S;S;1;;0;0;cubierto;transparency
philanthropy;philanthropy;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
product safety;product safety;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
psychological safety;psychological safety;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
psychosocial risk;psychosocial risk;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
responsible sourcing;responsible sourcing;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
road safety;road safety;3;3;máximo;máximo;1;S;S;1;;1;0;en vocabulario;
social dialogue;social dialogue;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
supplier code of conduct;supplier code of conduct;3;3;máximo;máximo;1;G;S;0;;0;0;cubierto;code of conduct
talent attraction and retention;talent attraction and retention;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
talent development;talent development;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
trade union;trade union;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
training hour;training hour;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
voluntary principles on security and human rights;voluntary principle on security and human right;3;3;máximo;máximo;1;S;S;1;;1;0;cubierto;human right
work-life balance;work life balance;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
working condition;working condition;3;3;máximo;máximo;1;S;S;1;;0;0;HUECO;
works council;works council;3;3;máximo;máximo;1;S;S;1;;0;0;en vocabulario;
2030 agenda;2030 agenda;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;HUECO;
corporate social responsibility;corporate social responsibility;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;social responsibility
csrd;csrd;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
double materiality;double materiality;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
dow jones sustainability index;dow jone sustainability index;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
ecovadis;ecovadis;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
esg;esg;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
esg data;esg data;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;esg
esg rating;esg rating;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;esg
esg reporting;esg reporting;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;esg
esg risk;esg risk;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;esg
esg topic;esg topic;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;esg
esrs;esr;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
external assurance;external assurance;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;HUECO;
ftse4good;ftse4good;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
global reporting initiative;global reporting initiative;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
gri standard;gri standard;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;gri
integrated report;integrated report;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;HUECO;
limited assurance;limited assurance;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;HUECO;
material topic;material topic;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
materiality assessment;materiality assessment;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;materiality
materiality matrix;materiality matrix;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;materiality
non-financial information;non financial information;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;non financial
non-financial rating agency;non financial rating agency;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;non financial
non-financial reporting;non financial reporting;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;non financial
oecd guidelines for multinational enterprises;oecd guideline for multinational enterpris;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;oecd guideline
sasb;sasb;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
sfdr;sfdr;3;3;máximo;máximo;1;TRANS;TRANS;1;;1;0;en vocabulario;
stakeholder engagement;stakeholder engagement;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;stakeholder
sustainability;sustainability;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
sustainability due diligence;sustainability due diligence;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability-linked bond;sustainability linked bond;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability report;sustainability report;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability strategy;sustainability strategy;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainability target;sustainability target;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainability
sustainable development;sustainable development;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainable
sustainable development goal;sustainable development goal;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;cubierto;sustainable
un global compact;un global compact;3;3;máximo;máximo;1;TRANS;TRANS;1;;0;0;en vocabulario;
breeam;breeam;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
cage-free egg;cage free egg;2;3;alto;máximo;0;E;E;1;E/S;1;0;HUECO;
carbon emission;carbon emission;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
carbon neutral;carbon neutral;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;carbon
carbon removal;carbon removal;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;carbon
circularity;circularity;2;3;alto;máximo;0;E;E;1;;0;0;en vocabulario;
climate hazard;climate hazard;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;climate
climate-related risk;climate related risk;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;climate
climate scenario analysis;climate scenario analysis;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;scenario analysis
coal-fired power plant;coal fired power plant;2;3;alto;máximo;0;E;E;1;;1;0;cubierto;coal
corsia;corsia;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
diesel emission;diesel emission;2;3;alto;máximo;0;E;E;1;;1;0;cubierto;emission
ecodesign;ecodesign;2;3;alto;máximo;0;E;E;1;;0;0;en vocabulario;
emission reduction target;emission reduction target;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
environmental indicator;environmental indicator;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;environ\w+
environmental product declaration;environmental product declaration;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;environ\w+
extreme weather event;extreme weather event;2;3;alto;máximo;0;E;E;1;;0;0;HUECO;
flaring;flaring;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
fossil fuel;fossil fuel;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;fuel
ghg emission;ghg emission;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
groundwater contamination;groundwater contamination;2;3;alto;máximo;0;E;E;1;;0;0;HUECO;
installed renewable capacity;installed renewable capacity;2;3;alto;máximo;0;E;E;1;;1;0;cubierto;renewable
leed;leed;2;3;alto;máximo;0;E;E;1;;1;0;en vocabulario;
natural resource;natural resource;2;3;alto;máximo;0;E;E;1;;0;0;HUECO;
offshore wind;offshore wind;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
ozone layer;ozone layer;2;3;alto;máximo;0;E;E;1;;0;0;HUECO;
palm oil;palm oil;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
pharmaceutical residue;pharmaceutical residue;2;3;alto;máximo;0;E;E;1;;1;0;HUECO;
plastic waste;plastic waste;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;plastic
product stewardship;product stewardship;2;3;alto;máximo;0;S;E;0;;0;0;HUECO;
re100;re100;2;3;alto;máximo;0;E;E;1;;0;0;HUECO;
recycled content;recycled content;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;recycl\w+
sbti;sbti;2;3;alto;máximo;0;E;E;1;;0;0;en vocabulario;
scope 1 emission;scope 1 emission;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
scope 2 emission;scope 2 emission;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
scope 3 emission;scope 3 emission;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
voluntary emission reduction certificate;voluntary emission reduction certificate;2;3;alto;máximo;0;E;E;1;;0;0;cubierto;emission
waste;waste;2;3;alto;máximo;0;E;E;1;;0;0;en vocabulario;
anti-bribery;anti bribery;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;bribery
board composition;board composition;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
board independence;board independence;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
board tenure;board tenure;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
bribery;bribery;2;3;alto;máximo;0;G;G;1;;0;0;en vocabulario;
chief sustainability officer;chief sustainability officer;2;3;alto;máximo;0;TRANS;G;0;;0;0;cubierto;sustainability
compliance programme;compliance program;2;3;alto;máximo;0;G;G;1;;0;0;en vocabulario;
corporate governance statement;corporate governance statement;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;governance
corruption;corruption;2;3;alto;máximo;0;G;G;1;;0;0;en vocabulario;
deferred prosecution agreement;deferred prosecution agreement;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
ethical culture;ethical culture;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;ethical
ethics training;ethics training;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
executive remuneration;executive remuneration;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;remuneration
fraud prevention;fraud prevention;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;fraud
governance risk and compliance;governance risk and compliance;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;governance
governance structure;governance structure;2;3;alto;máximo;0;G;G;1;;0;0;cubierto;governance
long-term incentive;long term incentive;2;3;alto;máximo;0;G;G;1;;0;0;HUECO;
