termino;tipo;pilar;sectorial;colocacion;origen;nota
green investment;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
greenhouse;termino;E;0;0;bloque;
habitat;termino;E;0;0;auditoria;
hazardous;termino;E;0;0;bloque;
heat wave;termino;E;0;0;bloque;
hydroelectric;termino;E;0;0;auditoria;
hydrogen;termino;E;0;0;bloque;
hydropower;termino;E;0;0;auditoria;
iso 14001;termino;E;0;0;auditoria;
iso 50001;termino;E;0;0;auditoria;
iso\s*14001\b;patron;E;0;0;manual;ISO partida por pilar: gestion ambiental
iso\s*50001\b;patron;E;0;0;manual;ISO partida por pilar: gestion energetica
land use;termino;E;0;0;auditoria;
landfill;termino;E;0;0;auditoria;
lca;termino;E;0;0;auditoria;
leed;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
life cycle assessment;termino;E;0;0;auditoria;
low carbon;termino;E;0;0;bloque;
marine;termino;E;0;0;auditoria;
methane;termino;E;0;0;bloque;
microfiber;termino;E;1;0;auditoria;
microplastic;termino;E;0;0;auditoria;
natural capital;termino;E;0;0;auditoria;
natural disaster;termino;E;0;0;bloque;
nature-based solution;termino;E;0;0;bloque;
net zero;termino;E;0;0;bloque;
nox;termino;E;0;0;auditoria;
ocean;termino;E;0;0;auditoria;
offset;termino;E;0;0;bloque;
offset\w+;patron;E;0;0;manual;
packaging;termino;E;0;0;bloque;
paris\s+agreement;patron;E;0;0;manual;
particulate matter;termino;E;0;0;auditoria;
peatland;termino;E;1;0;auditoria;
photovoltaic;termino;E;0;0;bloque;
plastic;termino;E;0;0;bloque;
pollution;termino;E;0;0;bloque;
raw material consumption;termino;E;0;1;manual;colocacion de 'raw material', que suelto suele ser coste de produccion
raw material efficiency;termino;E;0;1;manual;colocacion de 'raw material', que suelto suele ser coste de produccion
raw material sourcing;termino;E;0;1;manual;colocacion de 'raw material', que suelto suele ser coste de produccion
recycl\w+;patron;E;0;0;manual;
recyclable;termino;E;0;0;manual;
recycle;termino;E;0;0;manual;
recycled raw material;termino;E;0;1;manual;colocacion de 'raw material', que suelto suele ser coste de produccion
recycling;termino;E;0;0;manual;
reforestation;termino;E;0;0;bloque;
refrigerant;termino;E;0;0;auditoria;
regenerative agriculture;termino;E;0;0;auditoria;
renewable;termino;E;0;0;bloque;
resource efficiency;termino;E;0;0;auditoria;
sbti;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
science based target;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
scope\s*[123]\b;patron;E;0;0;manual;
scope\s+(?:one|two|three);patron;E;0;0;manual;
sf6;termino;E;1;0;auditoria;
soil health;termino;E;0;0;auditoria;
solar;termino;E;0;0;bloque;
species;termino;E;0;0;auditoria;
supply chain decarbonisation;termino;E;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain emission;termino;E;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain footprint;termino;E;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
tonne\w*\s+(?:co2|carbon);patron;E;0;0;manual;
transition plan;termino;E;0;0;bloque;
virgin polyester;termino;E;1;0;auditoria;
volatile organic;termino;E;0;0;auditoria;
waste;termino;E;0;0;bloque;
wastewater;termino;E;0;0;auditoria;
water;termino;E;0;0;bloque;
water\s+(?:usage|consumption|stewardship|management|withdrawal|scarcity|stress);patron;E;0;0;manual;
wetland;termino;E;0;0;auditoria;
wind energy;termino;E;0;0;bloque;
wind farm;termino;E;0;0;auditoria;
wind power;termino;E;0;0;bloque;
wind turbine;termino;E;0;0;auditoria;
zdhc;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
anti-money laundering;termino;G;0;0;auditoria;
antitrust;termino;G;0;0;auditoria;
audit committee;termino;G;0;0;auditoria;
b corp;termino;G;1;0;auditoria;
board oversight;termino;G;1;0;auditoria;
bribery;termino;G;0;0;bloque;
business ethics;termino;G;0;0;auditoria;
code of conduct;termino;G;0;0;auditoria;
code of ethics;termino;G;0;0;auditoria;
compliance and ethics;termino;G;0;1;manual;
compliance committee;termino;G;0;1;manual;
compliance department;termino;G;0;1;manual;
compliance function;termino;G;0;1;manual;
compliance management system;termino;G;0;1;manual;
compliance officer;termino;G;0;1;manual;
compliance program;termino;G;0;1;manual;
compliance programme;termino;G;0;1;manual;
compliance risk;termino;G;0;1;manual;
compliance training;termino;G;0;1;manual;
compliance violation;termino;G;0;1;manual;
conflict of interest;termino;G;0;0;auditoria;
conflicts of interest;termino;G;0;0;auditoria;
cop 28;termino;G;1;0;auditoria;
cop28;termino;G;1;0;auditoria;
corruption;termino;G;0;0;bloque;
cybersecuri\w+;patron;G;0;0;manual;
cybersecurity;termino;G;0;0;bloque;
data breach;termino;G;0;0;bloque;
data privacy;termino;G;0;0;bloque;
data protection;termino;G;0;0;bloque;
data security;termino;G;0;0;bloque;
due diligence;termino;G;0;0;bloque;
duty of vigilance;termino;G;0;0;auditoria;
ethical;termino;G;0;0;auditoria;
ethics and compliance;termino;G;0;1;manual;
executive compensation;termino;G;1;0;auditoria;
fair competition;termino;G;0;0;bloque;
fraud;termino;G;0;0;auditoria;
gdpr;termino;G;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de G"
governance;termino;G;0;0;bloque;
independent director;termino;G;0;0;auditoria;
information security;termino;G;0;0;bloque;
insider trading;termino;G;0;0;auditoria;
integrity;termino;G;0;0;auditoria;
internal audit;termino;G;0;0;auditoria;
internal control;termino;G;0;0;auditoria;
iso 37001;termino;G;1;0;auditoria;
iso\s*37001\b;patron;G;1;0;manual;ISO partida por pilar: antisoborno
lobbying;termino;G;0;0;auditoria;
money laundering;termino;G;0;0;auditoria;
non-compliance;termino;G;0;1;manual;
political contribution;termino;G;0;0;auditoria;
proxy advisor;termino;G;0;1;manual;
proxy statement;termino;G;0;1;manual;
regulatory compliance;termino;G;0;1;manual;
related party;termino;G;0;0;auditoria;
remuneration;termino;G;0;0;bloque;
responsible business;termino;G;0;0;bloque;
responsible investment;termino;G;0;0;bloque;
responsible sourcing;termino;G;0;0;bloque;
risk appetite;termino;G;0;0;auditoria;
risk management;termino;G;0;0;bloque;
sanction;termino;G;0;0;auditoria;
sapin;termino;G;0;0;auditoria;
say on pay;termino;G;0;0;auditoria;
scenario analysis;termino;G;0;0;auditoria;
speak up;termino;G;0;0;auditoria;
succession planning;termino;G;0;0;auditoria;
supplier assessment;termino;G;0;0;auditoria;
supply chain due diligence;termino;G;0;1;bloque;
supply chain ethics;termino;G;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain management;termino;G;0;1;bloque;
supply chain risk;termino;G;0;1;bloque;
supply chain transparency;termino;G;0;1;bloque;
tax avoidance;termino;G;0;0;bloque;
tax compliance;termino;G;0;1;manual;
tax policy;termino;G;0;0;bloque;
tax strategy;termino;G;0;0;auditoria;
tax transparency;termino;G;0;0;bloque;
transparency;termino;G;0;0;bloque;
vigilance plan;termino;G;0;0;auditoria;
whistleblow\w+;patron;G;0;0;manual;
whistleblower;termino;G;0;0;auditoria;
whistleblowing;termino;G;0;0;bloque;
absenteeism;termino;S;0;0;auditoria;
accessibility;termino;S;0;0;auditoria;
affordability;termino;S;0;0;auditoria;
apprentice;termino;S;0;0;auditoria;
better cotton;termino;S;1;0;auditoria;
child labor;termino;S;0;0;bloque;
collective bargaining;termino;S;0;0;auditoria;
community engagement;termino;S;0;0;bloque;
community relations;termino;S;1;0;auditoria;
consumer protection;termino;S;0;0;auditoria;
customer privacy;termino;S;0;0;auditoria;
customer satisfaction;termino;S;0;0;auditoria;
dei;termino;S;0;0;auditoria;
disabilit\w+;patron;S;0;0;manual;
disability;termino;S;0;0;manual;
discrimination;termino;S;0;0;bloque;
diversity;termino;S;0;0;bloque;
donation;termino;S;0;0;auditoria;
employee engagement;termino;S;0;0;auditoria;
employee wellbeing;termino;S;0;0;bloque;
employee\s+well\w*;patron;S;0;0;manual;
equal opportunity;termino;S;0;0;manual;
equal pay;termino;S;0;0;auditoria;
equal\s+opportunit\w+;patron;S;0;0;manual;
equality;termino;S;0;0;bloque;
ergonomic;termino;S;0;0;auditoria;
ergonomic\w*;patron;S;0;0;manual;
fair compensation;termino;S;0;0;bloque;
fair condition;termino;S;0;0;bloque;
fair labor;termino;S;0;0;bloque;
fair trade;termino;S;0;0;auditoria;
fair wage;termino;S;0;0;bloque;
fairtrade;termino;S;1;0;auditoria;
fatalit\w+;patron;S;0;0;manual;
fatality;termino;S;0;0;manual;
female representation;termino;S;0;0;auditoria;
first aid;termino;S;0;0;auditoria;
food safety;termino;S;1;0;auditoria;
forced labor;termino;S;0;0;bloque;
freedom of association;termino;S;0;0;auditoria;
gender;termino;S;0;0;bloque;
grievance;termino;S;0;0;auditoria;
harassment;termino;S;0;0;bloque;
health and safety;termino;S;0;0;bloque;
human capital;termino;S;0;0;auditoria;
human right;termino;S;0;0;bloque;
human trafficking;termino;S;0;0;auditoria;
ilo;termino;S;0;0;auditoria;
inclusion;termino;S;0;0;bloque;
inclusiv\w+;patron;S;0;0;manual;
inclusive;termino;S;0;0;bloque;
indigenous;termino;S;0;0;auditoria;
injur\w+;patron;S;0;0;manual;
injury;termino;S;0;0;bloque;
iso 45001;termino;S;0;0;auditoria;norma de seguridad y salud laboral, no de gobernanza
iso\s*45001\b;patron;S;0;0;manual;ISO partida por pilar: seguridad y salud laboral
just\s+transition;patron;S;0;0;manual;transicion justa: proteccion de trabajadores y comunidades
labor practices;termino;S;0;0;auditoria;
labor right;termino;S;0;0;bloque;
leather working group;termino;S;1;0;auditoria;
living income;termino;S;1;0;auditoria;
living wage;termino;S;0;0;bloque;
local community;termino;S;0;0;manual;
local\s+communit\w+;patron;S;0;0;manual;
maternity;termino;S;0;0;auditoria;
mental health;termino;S;0;0;auditoria;
minimum wage;termino;S;0;0;auditoria;
modern slavery;termino;S;0;0;bloque;
nutrition;termino;S;1;0;auditoria;
occupational health;termino;S;0;0;bloque;
oecd guidelines;termino;S;0;0;auditoria;
pay equity;termino;S;0;0;auditoria;
philanthrop\w+;patron;S;0;0;manual;
philanthropy;termino;S;0;0;manual;
product quality;termino;S;0;0;auditoria;
product safety;termino;S;0;0;auditoria;
racism;termino;S;0;0;bloque;
reskilling;termino;S;0;0;auditoria;
responsible marketing;termino;S;0;0;auditoria;
road safety;termino;S;0;0;auditoria;
sedex;termino;S;1;0;auditoria;
smeta;termino;S;1;0;auditoria;
social audit;termino;S;0;1;manual;
social commitment;termino;S;0;1;bloque;
social compliance;termino;S;0;1;bloque;
social dialogue;termino;S;0;1;manual;
social enterprise;termino;S;0;1;manual;
social impact;termino;S;0;1;bloque;
social inclusion;termino;S;0;1;manual;
social indicator;termino;S;0;1;manual;
social issue;termino;S;0;1;manual;
social norm;termino;S;0;1;bloque;
social partner;termino;S;0;1;manual;
social performance;termino;S;0;1;manual;
social protection;termino;S;0;1;manual;
social responsibility;termino;S;0;1;bloque;
social risk;termino;S;0;1;manual;
social standard;termino;S;0;1;bloque;
social\s+(?:responsibility|impact|policy|pillar|report|performance|value|welfare|audit|capital|sustainability|license|licence|dialogue|protection|partner|standard|norm|commitment|compliance);patron;S;0;0;manual;
stakeholder;termino;S;0;0;bloque;
supply chain audit;termino;S;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain human right;termino;S;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain labour;termino;S;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
supply chain worker;termino;S;0;1;manual;colocacion de 'supply chain', que suelto cambia de pilar
talent development;termino;S;0;0;auditoria;
trade union;termino;S;0;0;auditoria;
training and development;termino;S;0;0;bloque;
training hour;termino;S;0;0;bloque;
training program;termino;S;0;0;bloque;
ungp;termino;S;0;0;bloque;
upskilling;termino;S;0;0;auditoria;
volunteer;termino;S;0;0;auditoria;
wellbeing;termino;S;0;0;auditoria;
work-life balance;termino;S;0;0;auditoria;
works council;termino;S;0;0;auditoria;
article\s*[689]\b;patron;TRANS;0;0;manual;
cdp;termino;TRANS;0;0;bloque;
csr;termino;TRANS;0;0;bloque;
csrd;termino;TRANS;0;0;bloque;
double materiality;termino;TRANS;0;0;bloque;
ecovadis;termino;TRANS;0;0;bloque;
esg;termino;TRANS;0;0;bloque;
esrs;termino;TRANS;0;0;bloque;
eu taxonomy;termino;TRANS;0;0;bloque;REVISAR: la Taxonomia UE es clasificacion ambiental, pero tambien marco de reporte
ftse4good;termino;TRANS;0;0;bloque;
global reporting initiative;termino;TRANS;0;0;bloque;
gri;termino;TRANS;0;0;bloque;
ifrs\s*s[12]\b;patron;TRANS;0;0;manual;
issb;termino;TRANS;0;0;bloque;
material topic;termino;TRANS;0;0;bloque;
materiality;termino;TRANS;0;0;bloque;
msci esg;termino;TRANS;0;0;bloque;
non-financial;termino;TRANS;0;0;bloque;
nonfinancial;termino;TRANS;0;0;bloque;
sasb;termino;TRANS;0;0;bloque;
sdg;termino;TRANS;0;0;bloque;
sfdr;termino;TRANS;0;0;bloque;
sustainab\w+;patron;TRANS;0;0;manual;
sustainability;termino;TRANS;0;0;manual;paraguas: no identifica pilar
sustainable;termino;TRANS;0;0;manual;paraguas: no identifica pilar
sustainalytics;termino;TRANS;0;0;bloque;
taxonomy aligned;termino;TRANS;0;0;bloque;REVISAR: la Taxonomia UE es clasificacion ambiental, pero tambien marco de reporte
taxonomy alignment;termino;TRANS;0;0;bloque;REVISAR: la Taxonomia UE es clasificacion ambiental, pero tambien marco de reporte
taxonomy eligible;termino;TRANS;0;0;bloque;REVISAR: la Taxonomia UE es clasificacion ambiental, pero tambien marco de reporte
tcfd;termino;TRANS;0;0;bloque;
tnfd;termino;TRANS;0;0;bloque;
un global compact;termino;TRANS;0;0;bloque;
