termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
esg risk management;termino;G;0;137;31;17;6;5;0.833;0.436;0.97;23;1;0;0;0;mantener;tabla de stakeholders con referencias
solar plant;termino;E;0;130;36;10;6;5;0.833;0.436;0.97;22;0;0;1;0;mantener;impacto regulatorio comercial
nonfinancial reporting;termino;TRANS;0;63;46;24;6;4;0.667;0.3;0.903;21;1;0;0;1;revisar;nombre de directiva | glosario
low-carbon fuel;termino;E;0;53;32;13;6;4;0.667;0.3;0.903;18;0;0;0;2;revisar;nombre de alianza industrial | nombre de normativa estadounidense
ecological footprint;termino;E;0;70;46;19;6;5;0.833;0.436;0.97;12;0;0;0;1;mantener;nombre propio de herramienta
carbon footprint;termino;E;0;3425;281;49;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
materiality assessment;termino;TRANS;0;2236;157;47;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
fossil fuel;termino;E;0;1409;233;47;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
plastic packaging;termino;E;0;565;62;18;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
solar power;termino;E;0;472;108;33;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
solar panel;termino;E;0;445;147;36;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ecosystem service;termino;E;0;383;105;35;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
materiality matrix;termino;TRANS;0;350;120;31;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sustainable aviation fuel;termino;E;0;339;64;26;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
business integrity;termino;G;0;337;83;20;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
solar energy;termino;E;0;225;98;34;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
water footprint;termino;E;0;219;75;23;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sustainable packaging;termino;E;0;219;61;19;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
packaging waste;termino;E;0;145;59;16;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
disability inclusion;termino;S;0;123;41;19;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
climate scenario analysis;termino;G;0;96;40;22;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
offsett?ing\s+(?:of\s+)?(?:\w+\s+)?emission;patron;E;0;72;45;19;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
recyclable packaging;termino;E;0;40;18;8;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
ecosystem restoration;termino;E;0;34;24;12;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
sustainability risk management;termino;G;0;16;;;;;;;;;;;;;no auditada (menos de 20 disparos);
offsett?ing\s+(?:of\s+)?(?:\w+\s+)?carbon;patron;E;0;15;;;;;;;;;;;;;no auditada (menos de 20 disparos);
recycled packaging;termino;E;0;15;;;;;;;;;;;;;no auditada (menos de 20 disparos);
