termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
oil spill;termino;E;1;212;20;5;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
product stewardship;termino;E;0;210;32;9;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
board composition;termino;G;0;210;89;27;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
re100;termino;E;0;208;70;18;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
women in management position;termino;S;0;184;76;25;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
zero accident;termino;S;0;156;51;12;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
three lines of defense;termino;G;0;130;65;18;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
occupational illness;termino;S;0;128;55;15;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
energy attribute certificate;termino;E;0;117;60;22;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
Ethisphere;termino;G;0;117;30;6;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
responsible tax;termino;G;0;101;53;14;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
iirc;termino;TRANS;0;92;42;14;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
mitigation hierarchy;termino;E;0;89;40;16;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
musculoskeletal disorder;termino;S;0;82;51;15;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
psychological safety;termino;S;0;70;30;13;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
safety data sheet;termino;S;1;62;32;10;6;6;1.0;0.61;1.0;0;0;0;0;0;mantener;
pharmacovigilance;termino;S;1;152;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
bioethics;termino;S;1;150;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
special voting share;termino;G;0;104;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
hydrocarbon spill;termino;E;1;55;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
ethics training;termino;G;0;49;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
green project;termino;E;0;48;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
access to land;termino;S;1;47;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
healthy eating;termino;S;1;43;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
product responsibility;termino;S;0;38;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
talent attraction and retention;termino;S;0;35;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
afforestation;termino;E;0;33;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
corsia;termino;E;1;32;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
director independence;termino;G;0;32;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
consumer safety;termino;S;0;32;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
product traceability;termino;S;0;30;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
collective labour agreement;termino;S;0;29;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
board attendance;termino;G;0;28;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
socially responsible investor;termino;TRANS;0;26;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
cage free;termino;E;1;25;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
patient safety;termino;S;1;24;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
site remediation;termino;E;0;22;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
ozone layer;termino;E;0;21;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
medical ethics;termino;S;1;20;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
harmful consumption;termino;S;1;15;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
pharmaceutical residue;termino;E;1;15;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
reach registration;termino;E;1;15;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
vehicle recall;termino;S;1;15;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
soil contamination;termino;E;0;14;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
board independence;termino;G;0;14;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
eligible green project;termino;E;0;14;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
board tenure;termino;G;0;13;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
private security provider;termino;S;1;13;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
low-alcohol beer;termino;S;1;11;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
material safety data sheet;termino;S;1;10;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
deferred prosecution agreement;termino;G;0;9;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
loyalty voting structure;termino;G;0;8;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
supply chain responsibility;termino;S;0;7;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
cage-free egg;termino;E;1;4;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
whistle-blowing hotline;termino;G;0;4;;;;;;;;;;;;;no entra (masa o reparto insuficiente);
