termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
social\s+(?:responsibility|impact|policy|pillar|report|performance|value|welfare|audit|capital|sustainability|license|licence|dialogue|protection|partner|standard|norm|commitment|compliance);patron;S;0;10053;330;49;20;15;0.75;0.531;0.888;2513;4;1;0;0;revisar;KPI table heading | auditor fees for CSR services | SDG correspondence table | section heading | DPEF cross-reference table
inclusion;termino;S;0;9805;334;49;12;9;0.75;0.468;0.911;2451;0;1;1;1;revisar;inclusion digital comercial | nota metodologica inclusion de partes | IFRS 17 risk adjustment
related party;termino;G;0;2590;304;46;12;1;0.083;0.015;0.354;2374;3;8;0;0;retirar;nota contable | tabla de correspondencia | indice de contenidos | informe especial del auditor | descripcion de seccion
biodiversity;termino;E;0;11748;271;48;20;16;0.8;0.584;0.919;2350;4;0;0;0;mantener;taxonomy table header | GAR template header | GRI correspondence table
hydrogen;termino;E;0;4603;190;48;12;6;0.5;0.254;0.746;2302;0;0;1;5;revisar;plantilla legal taxonomia nuclear/gas | nota al pie acronimo programa | programa de talento llamado Hydrogen | patrocinio America's Cup
transparency;termino;G;0;6717;336;49;12;8;0.667;0.391;0.862;2239;0;1;2;1;revisar;gestion de incidentes operativos | cultura RRHH | transparencia de mercado MiFID | nombre de ley Sapin II
disabilit\w+;patron;S;0;6482;316;49;12;8;0.667;0.391;0.862;2161;0;4;0;0;revisar;riesgo actuarial de seguros | provisiones de personal | clausula de incentivos | plan de pensiones consejeros
esrs;termino;TRANS;0;6440;71;45;12;8;0.667;0.391;0.862;2147;4;0;0;0;revisar;
integrity;termino;G;0;6376;339;49;12;8;0.667;0.391;0.862;2125;0;0;0;4;revisar;integridad de datos ciberseguridad | integridad de datos
independent director;termino;G;0;8221;211;35;12;9;0.75;0.468;0.911;2055;0;0;0;3;revisar;biografia
recycl\w+;patron;E;0;12838;315;49;20;17;0.85;0.64;0.948;1926;1;2;0;0;mantener;GRI correspondence table | hedge reserve recycled to income | OCI not recycled to income
internal audit;termino;G;0;5753;331;49;12;8;0.667;0.391;0.862;1918;1;2;0;1;revisar;informe del auditor externo | biografia | lista de indicadores
recycling;termino;E;0;5144;291;47;12;8;0.667;0.391;0.862;1715;1;2;0;1;revisar;reciclaje de reservas a resultados | disclaimer forward-looking | indice SASB | reciclaje OCI a resultados
esg;termino;TRANS;0;16984;302;49;20;18;0.9;0.699;0.972;1698;1;0;0;1;mantener;index membership list in share data | 20-F cross-reference
non-compliance;termino;G;0;2807;299;47;12;5;0.417;0.193;0.68;1637;0;6;1;0;retirar;auditoria ESEF | penalizaciones comerciales | informe de auditoria
corruption;termino;G;0;9812;336;49;12;10;0.833;0.552;0.953;1635;1;0;0;1;mantener;corrupcion de datos informatica | tabla de correspondencia NFS
disability;termino;S;0;3825;306;49;12;7;0.583;0.32;0.807;1594;0;5;0;0;revisar;seguro de prevision del CEO | prestaciones de pensiones | riesgo actuarial de seguros | plan de prevision de consejeros | hipotesis actuariales
code of ethics;termino;G;0;2713;218;37;12;5;0.417;0.193;0.68;1583;0;7;0;0;retirar;independencia del auditor | norma profesional de auditoria interna | contrato de liquidez AMAFI
marine;termino;E;0;2273;229;48;6;2;0.333;0.097;0.7;1515;2;0;1;1;revisar;cabecera tabla taxonomia | categoria de premio | obras maritimas de construccion | leyenda de abreviaturas taxonomia
scope\s*[123]\b;patron;E;0;15064;299;48;20;18;0.9;0.699;0.972;1506;2;0;0;0;mantener;TCFD correspondence table
circular economy;termino;E;0;5777;271;48;12;9;0.75;0.468;0.911;1444;2;0;1;0;revisar;tendencia de mercado | cabecera tabla taxonomia
taxonomy eligible;termino;TRANS;0;4111;159;48;12;8;0.667;0.391;0.862;1370;4;0;0;0;revisar;definicion tipo glosario | leyenda de tabla | cabeceras de tabla repetidas
risk appetite;termino;G;0;4936;165;28;12;9;0.75;0.468;0.911;1234;0;3;0;0;revisar;marco prudencial bancario | umbral de liquidez | limites de liquidez
carbon;termino;E;0;23999;338;49;20;19;0.95;0.764;0.991;1200;0;1;0;0;mantener;carbon spot VaR trading
works council;termino;S;0;2834;258;44;12;7;0.583;0.32;0.807;1181;0;0;1;4;revisar;biografia de consejero | informe de auditoria | salida de consejero | presentacion de estrategia comercial | biografias de consejeros
code of conduct;termino;G;0;6585;287;47;12;10;0.833;0.552;0.953;1097;1;1;0;0;mantener;servicios de auditores | listado de documentos publicos
social responsibility;termino;S;0;3279;298;49;12;8;0.667;0.391;0.862;1093;2;0;1;1;revisar;mencion de pasada en riesgo TIC | texto del codigo de buen gobierno | referencia cruzada | nombre de capitulo
tcfd;termino;TRANS;0;1638;243;45;6;2;0.333;0.097;0.7;1092;4;0;0;0;revisar;tabla de correspondencia TCFD | indice de contenidos | encabezado de seccion | tabla de correspondencia
ghg;termino;E;0;10699;288;48;20;18;0.9;0.699;0.972;1070;2;0;0;0;mantener;footnote definition | correspondence table
water\s+(?:usage|consumption|stewardship|management|withdrawal|scarcity|stress);patron;E;0;6276;276;47;12;10;0.833;0.552;0.953;1046;1;0;1;0;mantener;tabla datapoints ESRS | beber agua y salud
due diligence;termino;G;0;4124;312;48;12;9;0.75;0.468;0.911;1031;1;1;1;0;revisar;tabla de correspondencia NFRD/TCFD | continuidad de negocio proveedores | due diligence de suscripcion
injur\w+;patron;S;0;2918;260;47;12;8;0.667;0.391;0.862;973;2;1;1;0;revisar;indice GRI | producto de seguro | taxonomia de riesgo operacional
inclusiv\w+;patron;S;0;5715;306;47;12;10;0.833;0.552;0.953;952;0;0;2;0;mantener;inclusive of en sentido incluyendo | crecimiento inclusivo en adquisicion
energy consumption;termino;E;0;5289;299;49;12;10;0.833;0.552;0.953;881;0;0;2;0;mantener;tendencia de mercado edificios | oportunidad comercial de productos
plastic;termino;E;0;5190;235;45;12;10;0.833;0.552;0.953;865;1;0;1;0;mantener;glosario | negocio de plasticos
nonfinancial;termino;TRANS;0;1686;215;46;6;3;0.5;0.188;0.812;843;1;2;0;0;revisar;activos no financieros IFRS | tabla de correspondencia | informe de auditoria
energy management;termino;E;0;1256;212;42;6;2;0.333;0.097;0.7;837;1;1;1;1;revisar;funcionalidad de producto | politica de compra de energia | nombre de agencia ADEME | referencia cruzada
article\s*[689]\b;patron;TRANS;0;1671;237;48;6;3;0.5;0.188;0.812;836;0;3;0;0;revisar;estatutos sociales | reglamento de auditoria
compliance committee;termino;G;0;2494;174;34;12;8;0.667;0.391;0.862;831;0;0;0;4;revisar;biografia en otra empresa
vigilance plan;termino;G;0;1623;103;18;6;3;0.5;0.188;0.812;812;3;0;0;0;revisar;indice GRI | indice de contenidos | encabezado de seccion
duty of vigilance;termino;G;0;966;86;17;6;1;0.167;0.03;0.564;805;1;3;0;1;retirar;lista de referencias legales | salvedad del verificador | referencia cruzada
material topic;termino;TRANS;0;1565;155;42;6;3;0.5;0.188;0.812;782;3;0;0;0;revisar;indice GRI | cabecera de tabla
circularity;termino;E;0;1559;143;39;6;3;0.5;0.188;0.812;780;1;0;1;1;revisar;nombre de empresa socia | tabla de indicadores | nombre de linea de negocio logistica
health and safety;termino;S;0;9155;297;49;12;11;0.917;0.646;0.985;763;0;0;1;0;mantener;descripcion de producto
collective bargaining;termino;S;0;2178;251;47;6;4;0.667;0.3;0.903;726;1;0;1;0;revisar;encabezado de tabla | definicion de ejecutivos para remuneracion
cybersecurity;termino;G;0;4297;262;47;12;10;0.833;0.552;0.953;716;0;0;2;0;mantener;area tecnologica de I+D | tendencia sectorial
csr;termino;TRANS;0;8223;209;42;12;11;0.917;0.646;0.985;685;1;0;0;0;mantener;listado de politicas
local\s+communit\w+;patron;S;0;2676;251;46;12;9;0.75;0.468;0.911;669;1;0;2;0;revisar;tabla de correspondencia GRI | factor de riesgo de proyectos | tendencia de consumo
co2;termino;E;0;13336;316;49;20;19;0.95;0.764;0.991;667;1;0;0;0;mantener;footnote reference to legal info
injury;termino;S;0;1328;216;42;6;3;0.5;0.188;0.812;664;2;1;0;0;revisar;glosario | seguro de lesiones personales | tabla GRI
animal welfare;termino;E;0;1291;123;26;6;3;0.5;0.188;0.812;646;1;0;0;2;revisar;exclusion legal boilerplate | tabla de correspondencia
sanction;termino;G;0;3772;311;49;12;10;0.833;0.552;0.953;629;0;1;1;0;mantener;sanciones estatutarias accionistas | sanciones geopoliticas a Rusia
compliance officer;termino;G;0;1818;256;45;6;4;0.667;0.3;0.903;606;1;0;0;1;revisar;organigrama con nombres | navegacion y organigrama
equality;termino;S;0;3619;277;48;12;10;0.833;0.552;0.953;603;2;0;0;0;mantener;tabla de correspondencia KPI | tabla de correspondencia EINF
greenhouse;termino;E;0;7079;323;49;12;11;0.917;0.646;0.985;590;0;0;0;1;mantener;cita bibliografica
business ethics;termino;G;0;1161;205;41;6;3;0.5;0.188;0.812;580;3;0;0;0;revisar;referencia cruzada | referencia cruzada a paginas | encabezado de seccion
bribery;termino;G;0;2290;290;49;12;9;0.75;0.468;0.911;572;3;0;0;0;revisar;tabla de correspondencia BMW | glosario UK Bribery Act | tabla de referencias
whistleblowing;termino;G;0;2285;221;39;12;9;0.75;0.468;0.911;571;2;1;0;0;revisar;lista de temas | encabezado de seccion | procedimientos del auditor
social dialogue;termino;S;0;1688;155;39;6;4;0.667;0.3;0.903;563;2;0;0;0;revisar;tabla ESRS de referencias | tabla de correspondencia
discrimination;termino;S;0;3319;286;47;12;10;0.833;0.552;0.953;553;2;0;0;0;mantener;indice SASB/GRI | indice GRI
eu taxonomy;termino;TRANS;0;3300;167;47;12;10;0.833;0.552;0.953;550;0;0;1;1;mantener;informe de aseguramiento del auditor | procedimiento del consejo de supervision
decarboni\w+;patron;E;0;6400;242;49;12;11;0.917;0.646;0.985;533;0;0;1;0;mantener;tendencia de mercado de clientes
circulari\w+;patron;E;0;1580;146;39;6;4;0.667;0.3;0.903;527;2;0;0;0;revisar;columna de tabla | encabezado de seccion
species;termino;E;0;1580;173;43;6;4;0.667;0.3;0.903;527;2;0;0;0;revisar;glosario
electrif\w+;patron;E;0;3064;163;45;12;10;0.833;0.552;0.953;511;0;0;2;0;mantener;motor de mercado semiconductores | eslogan estrategico de negocio
dei;termino;S;0;972;79;25;6;3;0.5;0.188;0.812;486;0;0;0;3;revisar;preposicion italiana dei
ethical;termino;G;0;5805;333;49;12;11;0.917;0.646;0.985;484;0;1;0;0;mantener;independencia del auditor
hazardous;termino;E;0;2893;227;46;12;10;0.833;0.552;0.953;482;2;0;0;0;mantener;glosario metodologico | tabla de correspondencia GRI/SASB
transition plan;termino;E;0;1407;107;46;6;4;0.667;0.3;0.903;469;1;0;1;0;revisar;relevo del socio auditor | tabla de correspondencia
wind farm;termino;E;0;928;117;30;6;3;0.5;0.188;0.812;464;0;1;0;2;revisar;nota contable de desinversion a FVOCI | lista de filiales
flood;termino;E;0;878;222;47;6;3;0.5;0.188;0.812;439;0;0;3;0;revisar;definicion de riesgo operacional | factor de riesgo boilerplate | programa de seguros
pollution;termino;E;0;5200;266;49;12;11;0.917;0.646;0.985;433;1;0;0;0;mantener;cabecera tabla taxonomia
responsible investment;termino;G;0;626;148;30;6;2;0.333;0.097;0.7;417;2;0;1;1;revisar;glosario de siglas | nombre PRI | glosario | linea de negocio ISS
customer satisfaction;termino;S;0;1245;224;43;6;4;0.667;0.3;0.903;415;0;0;2;0;revisar;metrica de plan de incentivos | prosa comercial
antitrust;termino;G;0;1240;202;43;6;4;0.667;0.3;0.903;413;2;0;0;0;revisar;encabezado repetido | tabla SASB
consumer protection;termino;S;0;471;114;26;6;1;0.167;0.03;0.564;392;0;1;0;4;retirar;nombre de ley Dodd-Frank | nombre de ministerio aleman | procedimientos legales
product quality;termino;S;0;581;173;33;6;2;0.333;0.097;0.7;387;0;0;4;0;revisar;factor de riesgo regulatorio | indice de bonus
sdg;termino;TRANS;0;4500;274;46;12;11;0.917;0.646;0.985;375;1;0;0;0;mantener;referencia cruzada tabla PRB
global warming;termino;E;0;1120;242;49;6;4;0.667;0.3;0.903;373;2;0;0;0;revisar;glosario
donation;termino;S;0;2211;272;47;6;5;0.833;0.436;0.97;368;1;0;0;0;mantener;cabecera de tabla
sfdr;termino;TRANS;0;720;72;39;6;3;0.5;0.188;0.812;360;3;0;0;0;revisar;tabla de datapoints ESRS
cybersecuri\w+;patron;G;0;4308;262;47;12;11;0.917;0.646;0.985;359;0;0;1;0;mantener;servicios comerciales de ciberseguridad
absenteeism;termino;S;0;718;153;29;6;3;0.5;0.188;0.812;359;1;0;2;0;revisar;lista de indicadores | factor de riesgo pandemia
freedom of association;termino;S;0;1075;217;45;6;4;0.667;0.3;0.903;358;2;0;0;0;revisar;tabla GRI | referencia cruzada
hydroelectric;termino;E;0;705;65;15;6;3;0.5;0.188;0.812;352;1;1;1;0;revisar;patente tecnica | siniestro asegurado | glosario
energy storage;termino;E;1;695;104;29;6;3;0.5;0.188;0.812;348;0;0;3;0;revisar;cartera de startups | descripcion de producto
compliance risk;termino;G;0;1880;275;46;6;5;0.833;0.436;0.97;313;1;0;0;0;mantener;encabezado de seccion
apprentice;termino;S;0;452;130;31;6;2;0.333;0.097;0.7;301;0;0;4;0;revisar;nota de perimetro de plantilla HGB | exclusion en definicion de metrica | nota metodologica de perimetro
trade union;termino;S;0;1746;266;44;6;5;0.833;0.436;0.97;291;0;0;1;0;mantener;retribucion variable
whistleblow\w+;patron;G;0;3481;273;46;12;11;0.917;0.646;0.985;290;1;0;0;0;mantener;tabla de correspondencia NFS
co2e;termino;E;0;3401;141;38;12;11;0.917;0.646;0.985;283;1;0;0;0;mantener;entrada de glosario
occupational health;termino;S;0;1670;235;42;6;5;0.833;0.436;0.97;278;1;0;0;0;mantener;indice GRI
lobbying;termino;G;0;556;128;38;6;3;0.5;0.188;0.812;278;1;0;2;0;revisar;tabla de requisitos de divulgacion | seguimiento legislativo
sbti;termino;E;0;1633;167;45;6;5;0.833;0.436;0.97;272;0;0;1;0;mantener;contexto comercial de mercado
recyclable;termino;E;0;796;148;34;6;4;0.667;0.3;0.903;265;0;2;0;0;revisar;OCI no reciclable a resultados
work-life balance;termino;S;0;790;187;45;6;4;0.667;0.3;0.903;263;2;0;0;0;revisar;definicion tipo glosario | tabla ESRS
carbon neutrality;termino;E;0;1563;167;38;6;5;0.833;0.436;0.97;260;1;0;0;0;mantener;glosario
deforestation;termino;E;0;1547;161;44;6;5;0.833;0.436;0.97;258;1;0;0;0;mantener;tabla ESRS no material
scenario analysis;termino;G;0;768;166;39;6;4;0.667;0.3;0.903;256;1;1;0;0;revisar;stress test riesgo de mercado | tabla TCFD
methane;termino;E;0;1501;111;33;6;5;0.833;0.436;0.97;250;0;0;1;0;mantener;proceso tecnico reformado de metano
equal\s+opportunit\w+;patron;S;0;1496;285;48;6;5;0.833;0.436;0.97;249;0;0;0;1;mantener;nombre de ministerio
recycle;termino;E;0;742;184;37;6;4;0.667;0.3;0.903;247;2;0;0;0;revisar;tabla de correspondencia
clean energy;termino;E;0;488;146;36;6;3;0.5;0.188;0.812;244;0;1;1;1;revisar;contexto regulatorio mexicano | Clean Energy Fuels Corp | disposiciones fiscales IRA
human capital;termino;S;0;726;195;42;6;4;0.667;0.3;0.903;242;1;0;1;0;revisar;marco de capitales del modelo de negocio | encabezado de infografia
sasb;termino;TRANS;0;720;144;38;6;4;0.667;0.3;0.903;240;2;0;0;0;revisar;indice SASB | presentacion de tabla SASB
training program;termino;S;0;1435;213;44;6;5;0.833;0.436;0.97;239;1;0;0;0;mantener;encabezado de seccion
csrd;termino;TRANS;0;1427;112;47;6;5;0.833;0.436;0.97;238;1;0;0;0;mantener;glosario
conflicts of interest;termino;G;0;2742;315;49;12;11;0.917;0.646;0.985;229;1;0;0;0;mantener;indice ESRS
supply chain management;termino;G;0;454;166;37;6;3;0.5;0.188;0.812;227;0;0;1;2;revisar;complejidad operativa de la cadena | nombre de funcion en tabla de plantilla | nombre de funcion corporativa
decarbonisation;termino;E;0;1339;98;25;6;5;0.833;0.436;0.97;223;0;0;0;1;mantener;biografia de consejera
indigenous;termino;S;0;665;130;39;6;4;0.667;0.3;0.903;222;1;0;0;1;revisar;nombre de fundacion en lista | texto de meta ODS citado
nutrition;termino;S;1;1326;114;32;6;5;0.833;0.436;0.97;221;0;0;0;1;mantener;nombre de empresa cliente
food safety;termino;S;1;442;39;12;6;3;0.5;0.188;0.812;221;1;0;0;2;revisar;nombre de DG de la Comision | biografia de consejero | glosario
cdp;termino;TRANS;0;2586;245;43;12;11;0.917;0.646;0.985;216;1;0;0;0;mantener;indice TCFD
social protection;termino;S;0;635;117;34;6;4;0.667;0.3;0.903;212;1;0;1;0;revisar;beneficios del consejero ejecutivo | indice ESRS
ergonomic\w*;patron;S;0;624;171;37;6;4;0.667;0.3;0.903;208;1;0;1;0;revisar;glosario | software ergonomico
science based target;termino;E;0;1225;231;48;6;5;0.833;0.436;0.97;204;1;0;0;0;mantener;glosario
land use;termino;E;0;609;135;38;6;4;0.667;0.3;0.903;203;0;1;1;0;revisar;urbanismo de planta | derechos de uso de suelo en flujos de caja
coal;termino;E;0;2424;196;41;12;11;0.917;0.646;0.985;202;0;1;0;0;mantener;cobertura de materias primas
photovoltaic;termino;E;0;1213;182;39;6;5;0.833;0.436;0.97;202;0;0;1;0;mantener;mercado de producto aislante
whistleblower;termino;G;0;1184;191;45;6;5;0.833;0.436;0.97;197;1;0;0;0;mantener;tabla SASB
energy mix;termino;E;0;585;155;40;6;4;0.667;0.3;0.903;195;0;0;2;0;revisar;tendencia de mercado
social indicator;termino;S;0;229;80;19;6;1;0.167;0.03;0.564;191;5;0;0;0;retirar;encabezado de seccion | referencia a seccion web | encabezado de tabla | tabla de datapoints ESRS
ocean;termino;E;0;1033;190;47;6;5;0.833;0.436;0.97;172;0;0;0;1;mantener;toponimo Oceano Indico
ethics and compliance;termino;G;0;1017;166;32;6;5;0.833;0.436;0.97;169;1;0;0;0;mantener;referencia cruzada
tax policy;termino;G;0;508;148;30;6;4;0.667;0.3;0.903;169;2;0;0;0;revisar;referencia cruzada | encabezado
grievance;termino;S;0;1011;147;45;6;5;0.833;0.436;0.97;168;1;0;0;0;mantener;encabezado de seccion
equal opportunity;termino;S;0;499;169;40;6;4;0.667;0.3;0.903;166;2;0;0;0;revisar;indice GRI 405
tax compliance;termino;G;0;333;144;36;6;3;0.5;0.188;0.812;166;1;2;0;0;revisar;nombre de ley FATCA | servicios no auditoria | encabezado de seccion
resource efficiency;termino;E;0;330;93;30;6;3;0.5;0.188;0.812;165;3;0;0;0;revisar;tabla SASB | tabla de correspondencia TCFD
iso 14001;termino;E;0;967;207;39;6;5;0.833;0.436;0.97;161;0;0;0;1;mantener;pie de imprenta
green energy;termino;E;0;303;108;32;6;3;0.5;0.188;0.812;152;0;0;2;1;revisar;tendencias de mercado de clientes | nombre de empresa Adani Green Energy | contexto macro de politicas
accessibility;termino;S;0;909;195;44;6;5;0.833;0.436;0.97;151;1;0;0;0;mantener;tabla de correspondencia GRI
product safety;termino;S;0;909;155;32;6;5;0.833;0.436;0.97;151;1;0;0;0;mantener;tabla SASB
habitat;termino;E;0;907;169;41;6;5;0.833;0.436;0.97;151;0;0;0;1;mantener;UN Habitat nombre de organismo
child labor;termino;S;0;890;166;35;6;5;0.833;0.436;0.97;148;1;0;0;0;mantener;tabla GRI
geothermal;termino;E;0;296;97;28;6;3;0.5;0.188;0.812;148;2;1;0;0;revisar;deterioro de activos | glosario | fila plantilla taxonomia al 0%
responsible business;termino;G;0;836;194;42;6;5;0.833;0.436;0.97;139;1;0;0;0;mantener;indice ESRS
biomass;termino;E;0;803;175;45;6;5;0.833;0.436;0.97;134;0;0;1;0;mantener;descripcion de segmento de negocio
executive compensation;termino;G;1;264;95;25;6;3;0.5;0.188;0.812;132;1;1;0;1;revisar;titulo de informe de la AMF | referencia cruzada a capitulo | marco regulatorio Solvencia II
social performance;termino;S;0;385;116;25;6;4;0.667;0.3;0.903;128;1;0;1;0;revisar;referencia a secciones del informe | boilerplate de alcance del informe
natural disaster;termino;E;0;760;283;47;6;5;0.833;0.436;0.97;127;0;0;1;0;mantener;continuidad de sistemas IT
fatalit\w+;patron;S;0;750;179;47;6;5;0.833;0.436;0.97;125;1;0;0;0;mantener;tabla GRI
compliance violation;termino;G;0;242;51;13;6;3;0.5;0.188;0.812;121;0;3;0;0;revisar;cuestion clave de auditoria provisiones
community engagement;termino;S;0;241;93;30;6;3;0.5;0.188;0.812;120;3;0;0;0;revisar;indice GRI 413-1 | titulo de indicador GRI 413-1 | tabla GRI 413-1
ifrs\s*s[12]\b;patron;TRANS;0;231;11;9;6;3;0.5;0.188;0.812;116;3;0;0;0;revisar;tabla de correspondencia ESRS-ISSB | nota al pie
proxy advisor;termino;G;0;325;97;25;6;4;0.667;0.3;0.903;108;1;0;1;0;revisar;logistica de junta covid | referencia cruzada a seccion
